Date;year;month;monthseq;AP;IPO
01.09.13;2013;9;14;AP 5.2;0,0
01.09.13;2013;9;14;AP 5.3;0,0
01.10.13;2013;10;15;AP 1.0;19,0
01.10.13;2013;10;15;AP 2.1;12,5
01.10.13;2013;10;15;AP 2.2;0,0
01.10.13;2013;10;15;AP 3.1;20,0
01.10.13;2013;10;15;AP 3.2;0,0
01.10.13;2013;10;15;AP 3.3;0,0
01.10.13;2013;10;15;AP 4.0;0,0
01.10.13;2013;10;15;AP 5.1;25,0
01.10.13;2013;10;15;AP 5.2;0,0
01.10.13;2013;10;15;AP 5.3;0,0
01.11.13;2013;11;16;AP 1.0;35,8
01.11.13;2013;11;16;AP 2.1;50,0
01.11.13;2013;11;16;AP 2.2;0,0
01.11.13;2013;11;16;AP 3.1;52,9
01.11.13;2013;11;16;AP 3.2;0,0
01.11.13;2013;11;16;AP 3.3;0,0
01.11.13;2013;11;16;AP 4.0;0,0
01.11.13;2013;11;16;AP 5.1;15,0
01.11.13;2013;11;16;AP 5.2;0,0
01.11.13;2013;11;16;AP 5.3;12,0
01.12.13;2013;12;17;AP 1.0;49,7
01.12.13;2013;12;17;AP 2.1;24,9
01.12.13;2013;12;17;AP 2.2;34,0
01.12.13;2013;12;17;AP 3.1;48,4
01.12.13;2013;12;17;AP 3.2;74,0
01.12.13;2013;12;17;AP 3.3;48,8
01.12.13;2013;12;17;AP 4.0;60,1
01.12.13;2013;12;17;AP 5.1;59,0
01.12.13;2013;12;17;AP 5.2;50,2
01.12.13;2013;12;17;AP 5.3;46,3
01.01.14;2014;1;18;AP 1.0;42,6
01.01.14;2014;1;18;AP 2.1;13,6
01.01.14;2014;1;18;AP 2.2;33,6
01.01.14;2014;1;18;AP 3.1;18,2
01.01.14;2014;1;18;AP 3.2;62,7
01.01.14;2014;1;18;AP 3.3;27,7
01.01.14;2014;1;18;AP 4.0;18,0
01.01.14;2014;1;18;AP 5.1;33,7
01.01.14;2014;1;18;AP 5.2;25,9
01.01.14;2014;1;18;AP 5.3;30,5
01.02.14;2014;2;19;AP 1.0;24,8
01.02.14;2014;2;19;AP 2.1;11,8
01.02.14;2014;2;19;AP 2.2;15,3
01.02.14;2014;2;19;AP 3.1;14,1
01.02.14;2014;2;19;AP 3.2;22,3
01.02.14;2014;2;19;AP 3.3;9,5
01.02.14;2014;2;19;AP 4.0;31,9
01.02.14;2014;2;19;AP 5.1;30,5
01.02.14;2014;2;19;AP 5.2;18,8
01.02.14;2014;2;19;AP 5.3;22,5
01.03.14;2014;3;20;AP 1.0;0,0
01.03.14;2014;3;20;AP 2.1;0,0
01.03.14;2014;3;20;AP 2.2;0,0
01.03.14;2014;3;20;AP 3.1;0,0
01.03.14;2014;3;20;AP 3.2;0,0
01.03.14;2014;3;20;AP 3.3;0,0
01.03.14;2014;3;20;AP 4.0;0,0
01.03.14;2014;3;20;AP 5.1;0,0
01.03.14;2014;3;20;AP 5.2;0,0
01.03.14;2014;3;20;AP 5.3;0,0
01.04.14;2014;4;21;AP 1.0;45,1
01.04.14;2014;4;21;AP 2.1;13,7
01.04.14;2014;4;21;AP 2.2;34,8
01.04.14;2014;4;21;AP 3.1;27,4
01.04.14;2014;4;21;AP 3.2;79,2
01.04.14;2014;4;21;AP 3.3;31,1
