"";"Município";"Código";"ICAO"
"125";"LIMOEIRO DO AJURU";1504000;"SBMQ"
"126";"LIMOEIRO DO AJURU";1504000;"SBBE"
"127";"MÃE DO RIO";1504059;"SBBE"
"128";"MÃE DO RIO";1504059;"SBTU"
"129";"MAGALHÃES BARATA";1504109;"SBMQ"
"130";"MAGALHÃES BARATA";1504109;"SBBE"
"131";"MARABÁ";1504208;"SBMA"
"132";"MARABÁ";1504208;"SBCJ"
"133";"MARACANÃ";1504307;"SBMQ"
"134";"MARACANÃ";1504307;"SBBE"
"135";"MARAPANIM";1504406;"SBMQ"
"136";"MARAPANIM";1504406;"SBBE"
"137";"MARITUBA";1504422;"SBMQ"
"138";"MARITUBA";1504422;"SBBE"
"139";"MEDICILÂNDIA";1504455;"SBSN"
"140";"MEDICILÂNDIA";1504455;"SBHT"
"141";"MELGAÇO";1504505;"SBMQ"
"142";"MELGAÇO";1504505;"SBMD"
"143";"MOCAJUBA";1504604;"SBMA"
"144";"MOCAJUBA";1504604;"SBBE"
"145";"MOJU";1504703;"SBMA"
"146";"MOJU";1504703;"SBBE"
"147";"Mojuí dos Campos";1504752;"SBTS"
"148";"Mojuí dos Campos";1504752;"SBSN"
"149";"MONTE ALEGRE";1504802;"SBTS"
"150";"MONTE ALEGRE";1504802;"SBSN"
"151";"MUANÁ";1504901;"SBMQ"
"152";"MUANÁ";1504901;"SBBE"
"153";"NOVA ESPERANÇA DO PIRIÁ";1504950;"SBSL"
"154";"NOVA ESPERANÇA DO PIRIÁ";1504950;"SBBE"
"155";"NOVA IPIXUNA";1504976;"SBMA"
"156";"NOVA IPIXUNA";1504976;"SBCJ"
"157";"NOVA TIMBOTEUA";1505007;"SBSL"
"158";"NOVA TIMBOTEUA";1505007;"SBBE"
"159";"NOVO PROGRESSO";1505031;"SBCC"
"160";"NOVO PROGRESSO";1505031;"SBAT"
"161";"NOVO REPARTIMENTO";1505064;"SBMA"
"162";"NOVO REPARTIMENTO";1505064;"SBCJ"
"163";"ÓBIDOS";1505106;"SBTS"
"164";"ÓBIDOS";1505106;"SBTB"
"165";"OEIRAS DO PARÁ";1505205;"SBBE"
"166";"OEIRAS DO PARÁ";1505205;"SBTU"
"167";"ORIXIMINÁ";1505304;"SBTS"
"168";"ORIXIMINÁ";1505304;"SBTB"
"169";"OURÉM";1505403;"SBSL"
