"","estacao_id","latitude","longitude","nome","data_dia","temp_min","umid_max"
"66","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2019-01-08,22,94.1058
"67","SBPL",-9.37,-40.57,"PETROLINA (AEROPORTO)",2019-05-01,25,78.4977
"68","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2019-09-16,24,83.3388
"69","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2019-09-27,24,94.191
"70","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-08-13,30,62.2792
"71","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-08-10,28,61.8373
"72","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-08-09,29,51.5031
"73","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-08-08,29,62.0591
"74","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-08-07,26,65.3558
"75","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-08-06,28,58.1113
"76","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-08-03,26,69.5463
"77","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-08-02,25,65.1455
"78","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-08-01,25,69.3555
"79","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-07-31,34,36.3921
"80","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-07-30,30,55.0775
"81","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-07-27,27,54.3344
"82","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-07-26,27,50.9868
"83","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-07-25,30,42.8316
"84","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-07-24,30,40.1728
"85","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-07-23,30,40.1728
"86","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-07-20,28,45.1033
"87","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-07-19,30,45.6438
"88","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-07-18,33,31.7568
"89","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-07-17,31,40.4484
"90","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-07-16,32,40.7227
"91","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2019-01-07,22,88.4364
"92","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2019-01-08,19,93.9298
"93","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-08-30,21,88.3537
"94","SBMA",-5.37,-49.13,"MARABA",2019-05-26,23,100
"95","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-08-23,21,94.0188
"96","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-08-24,21,88.4364
"97","SBMA",-5.37,-49.13,"MARABA",2019-08-25,22,94.1058
"98","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-08-31,21,88.4364
