data,330455,310620,410690
2014-05-01,23,11,2
2014-05-02,20,4,2
2014-05-03,10,5,1
2014-05-04,8,2,0
2014-05-05,15,6,2
2014-05-06,21,7,3
2014-05-07,1,6,5
2014-05-08,29,11,5
2014-05-09,56,9,12
2014-05-10,16,2,0
2014-05-11,15,5,4
2014-05-12,17,2,2
2014-05-13,27,4,4
2014-05-14,15,7,2
2014-05-15,16,10,0
2014-05-16,11,4,0
2014-05-17,13,5,1
2014-05-18,12,2,0
2014-05-19,21,3,0
2014-05-20,15,4,4
2014-05-21,10,1,1
2014-05-22,15,3,6
2014-05-23,10,5,1
2014-05-24,9,4,0
2014-05-25,10,0,1
2014-05-26,8,4,2
2014-05-27,16,2,0
2014-05-28,14,7,0
2014-05-29,10,2,2
2014-05-30,15,2,4
2014-05-31,7,2,0
2014-06-01,13,0,1
2014-06-02,6,0,3
2014-06-03,12,3,2
2014-06-04,6,5,1
2014-06-05,1,10,1
2014-06-06,8,0,0
2014-06-07,9,2,0
2014-06-08,5,0,1
2014-06-09,9,6,0
2014-06-10,6,5,0
2014-06-11,13,4,2
2014-06-12,7,1,1
2014-06-13,4,4,3
2014-06-14,14,6,6
2014-06-15,10,1,0
2014-06-16,15,2,3
2014-06-17,4,3,0
2014-06-18,7,0,2
2014-06-19,11,0,1
2014-06-20,5,0,0
2014-06-21,3,2,1
2014-06-22,10,2,0
2014-06-23,5,3,0
2014-06-24,10,5,0
2014-06-25,12,4,2
2014-06-26,12,5,0
2014-06-27,17,2,4
2014-06-28,13,3,2
2014-06-29,3,2,0
2014-06-30,9,1,1
2014-07-01,7,1,1
2014-07-02,7,5,1
2014-07-03,10,5,4
2014-07-04,3,3,2
2014-07-05,8,2,1
2014-07-06,2,0,0
2014-07-07,12,1,0
2014-07-08,15,3,2
2014-07-09,11,11,2
2014-07-10,13,1,4
2014-07-11,4,1,1
2014-07-12,4,1,0
2014-07-13,2,0,0
2014-07-14,9,1,0
2014-07-15,6,8,0
2014-07-16,7,3,1
2014-07-17,11,2,2
2014-07-18,8,2,0
2014-07-19,13,3,0
2014-07-20,12,1,1
2014-07-21,15,4,4
2014-07-22,9,2,3
2014-07-23,7,0,1
2014-07-24,6,2,2
2014-07-25,4,0,0
2014-07-26,2,3,0
2014-07-27,4,1,0
2014-07-28,6,3,0
2014-07-29,15,2,1
2014-07-30,9,1,2
2014-07-31,7,0,6
2014-08-01,7,1,1
2014-08-02,6,3,0
2014-08-03,3,2,1
2014-08-04,11,2,2
2014-08-05,18,7,4
2014-08-06,5,1,1
2014-08-07,13,2,1
2014-08-08,8,0,5
2014-08-09,10,1,1
2014-08-10,2,1,2
2014-08-11,9,0,0
2014-08-12,5,5,0
2014-08-13,11,2,1
2014-08-14,7,0,3
2014-08-15,5,0,0
2014-08-16,8,1,1
2014-08-17,5,1,0
2014-08-18,11,0,1
