"SE","tweets","APS","casos","estacao","x"
201219,561,"AP1",250,"santosdumont",20.7142857142857
201220,437,"AP1",264,"santosdumont",18.8571428571429
201221,323,"AP1",243,"santosdumont",19.7142857142857
201222,377,"AP1",138,"santosdumont",21.7142857142857
201223,271,"AP1",116,"santosdumont",21.1428571428571
201224,215,"AP1",93,"santosdumont",20.1428571428571
201225,162,"AP1",54,"santosdumont",21.4285714285714
201226,169,"AP1",37,"santosdumont",19.7142857142857
201227,148,"AP1",58,"santosdumont",20.8333333333333
201228,147,"AP1",37,"santosdumont",18.3333333333333
201229,94,"AP1",21,"santosdumont",18
201230,66,"AP1",20,"santosdumont",20.4285714285714
201231,90,"AP1",28,"santosdumont",20.5714285714286
201232,84,"AP1",16,"santosdumont",18.8571428571429
201233,63,"AP1",27,"santosdumont",20.1666666666667
201234,56,"AP1",18,"santosdumont",18.8333333333333
201235,63,"AP1",12,"santosdumont",18.5714285714286
201236,53,"AP1",10,"santosdumont",18.7142857142857
201237,84,"AP1",10,"santosdumont",20.7142857142857
201238,69,"AP1",14,"santosdumont",21.1666666666667
201239,49,"AP1",12,"santosdumont",17
201240,52,"AP1",11,"santosdumont",19.7142857142857
201241,48,"AP1",4,"santosdumont",21.3333333333333
201242,63,"AP1",12,"santosdumont",20.2857142857143
201243,87,"AP1",4,"santosdumont",22.1666666666667
201244,60,"AP1",10,"santosdumont",22.5714285714286
201245,53,"AP1",12,"santosdumont",21.8
201246,70,"AP1",5,"santosdumont",20.2
201247,64,"AP1",5,"santosdumont",20.8571428571429
201248,74,"AP1",7,"santosdumont",21.6666666666667
201249,86,"AP1",10,"santosdumont",24
201250,86,"AP1",9,"santosdumont",23.4285714285714
201251,71,"AP1",11,"santosdumont",24.2857142857143
201252,72,"AP1",8,"santosdumont",24.5
201301,96,"AP1",14,"santosdumont",24.2857142857143
201302,135,"AP1",48,"santosdumont",24.1428571428571
201303,212,"AP1",58,"santosdumont",23
201304,195,"AP1",44,"santosdumont",23
201305,185,"AP1",53,"santosdumont",23.4285714285714
201306,184,"AP1",50,"santosdumont",23
201307,224,"AP1",85,"santosdumont",24.2857142857143
201308,440,"AP1",185,"santosdumont",25.4
201309,473,"AP1",174,"santosdumont",23.1666666666667
201310,474,"AP1",170,"santosdumont",25
201311,659,"AP1",249,"santosdumont",24.25
201312,869,"AP1",248,"santosdumont",23.2
201313,852,"AP1",242,"santosdumont",22.6666666666667
201314,932,"AP1",348,"santosdumont",23.5
201315,1369,"AP1",350,"santosdumont",23.2857142857143
201316,783,"AP1",345,"santosdumont",20.7142857142857
201317,601,"AP1",218,"santosdumont",19.8571428571429
201318,443,"AP1",231,"santosdumont",21.5714285714286
201319,368,"AP1",150,"santosdumont",18.8571428571429
201320,304,"AP1",128,"santosdumont",20.7142857142857
201321,206,"AP1",77,"santosdumont",20.1666666666667
201322,193,"AP1",50,"santosdumont",20
201323,164,"AP1",27,"santosdumont",20.4285714285714
201324,146,"AP1",20,"santosdumont",20.6666666666667
201325,150,"AP1",19,"santosdumont",21
201326,123,"AP1",3,"santosdumont",20.8571428571429
201327,88,"AP1",7,"santosdumont",19.3333333333333
201328,90,"AP1",4,"santosdumont",18.1428571428571
201329,84,"AP1",7,"santosdumont",20.5
201330,57,"AP1",2,"santosdumont",18.6666666666667
201331,148,"AP1",8,"santosdumont",17.1428571428571
201332,155,"AP1",2,"santosdumont",20.5714285714286
201333,71,"AP1",0,"santosdumont",18.2857142857143
201334,97,"AP1",3,"santosdumont",20.4285714285714
201335,63,"AP1",0,"santosdumont",18.7142857142857
201336,55,"AP1",4,"santosdumont",20
201337,46,"AP1",4,"santosdumont",20.7142857142857
201338,115,"AP1",1,"santosdumont",22.5714285714286
201339,45,"AP1",6,"santosdumont",19.6666666666667
201340,56,"AP1",0,"santosdumont",21.5714285714286
201341,53,"AP1",2,"santosdumont",19.5
201342,57,"AP1",2,"santosdumont",21.3333333333333
201343,69,"AP1",1,"santosdumont",22.5
201344,66,"AP1",2,"santosdumont",21
201345,54,"AP1",2,"santosdumont",20.3333333333333
201346,63,"AP1",2,"santosdumont",22.7142857142857
201347,86,"AP1",4,"santosdumont",21.1666666666667
201348,74,"AP1",3,"santosdumont",22.8571428571429
201349,60,"AP1",6,"santosdumont",22.2857142857143
201350,NA,"AP1",2,"santosdumont",22.7142857142857
201351,NA,"AP1",3,"santosdumont",22.1428571428571
201352,NA,"AP1",0,"santosdumont",23.8571428571429
201401,27,"AP1",6,"santosdumont",25.5
201402,77,"AP1",12,"santosdumont",24.7142857142857
201403,82,"AP1",6,"santosdumont",23.6666666666667
201404,76,"AP1",12,"santosdumont",25
201405,91,"AP1",9,"santosdumont",25.1666666666667
201406,65,"AP1",11,"santosdumont",24.7142857142857
201407,77,"AP1",9,"santosdumont",23.8571428571429
201408,68,"AP1",3,"santosdumont",22.7142857142857
201409,77,"AP1",9,"santosdumont",23.8571428571429
201410,75,"AP1",5,"santosdumont",23.5
201411,66,"AP1",6,"santosdumont",24
