"SE","tweets","APS","casos","estacao","temp.sd","temp.min","temp.max","umid.mean","umid.sd","umid.min","umid.max","estacao.1"
200952,NA,"AP1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
201001,NA,"AP1",1,"galeao",2.78714285714286,25.1428571428571,33.4285714285714,73.7485714285714,12.18,51.7142857142857,89.7142857142857,NA
201002,NA,"AP1",0,"galeao",3.25285714285714,24.7142857142857,34.5714285714286,70.3557142857143,13.7171428571429,46.5714285714286,90.7142857142857,NA
201003,NA,"AP1",0,"galeao",3.5,23.8571428571429,34.5714285714286,71.2785714285714,13.6771428571429,45.8571428571429,88.2857142857143,NA
201004,NA,"AP1",2,"galeao",3.15714285714286,24,33.4285714285714,73.2014285714286,12.5728571428571,47.8571428571429,88.7142857142857,NA
201005,NA,"AP1",1,"galeao",3.83571428571429,25.1428571428571,36.4285714285714,63.7314285714286,15.6885714285714,38.1428571428571,85.2857142857143,NA
201006,NA,"AP1",5,"galeao",3.97,25,36.8571428571429,61.5957142857143,16.4714285714286,33.7142857142857,84.7142857142857,NA
201007,NA,"AP1",3,"galeao",3.15571428571429,24.5714285714286,34.2857142857143,68.6157142857143,13.7057142857143,44.4285714285714,87.2857142857143,NA
201008,NA,"AP1",6,"galeao",2.89571428571429,23.8571428571429,33,71.3571428571429,12.2985714285714,51,89,NA
201009,NA,"AP1",3,"galeao",1.61714285714286,21.7142857142857,26.5714285714286,85.8557142857143,7.19428571428571,72.5714285714286,93.2857142857143,NA
201010,NA,"AP1",3,"galeao",3.27,23.7142857142857,34,72.9814285714286,13.1142857142857,46.1428571428571,90.4285714285714,NA
201011,NA,"AP1",2,"galeao",2.79142857142857,22.5714285714286,31.1428571428571,79.6385714285714,12.5285714285714,56.4285714285714,94.8571428571429,NA
201012,NA,"AP1",5,"galeao",3.18142857142857,23.5714285714286,33.1428571428571,74.5671428571429,13.4657142857143,50.1428571428571,91.8571428571429,NA
