"","municipio_geocodigo","inc_preseason","inc_posseason","inc_epidemico","inicio","inicio.ic","duracao","duracao.ic","pop","limiar_preaseason","limiar_posseason","limiar_epidemico","mininc_pre","mininc_pos","mininc_epi","uf","ano_ini","ano_fim","pop_cat"
"1",1100015,0.961073178672049,0.849807264856343,30.1788947434217,2,"[44-10]",10,"[6.67821782178218-11]",22728,21.9992960225273,21.9992960225273,43.9985920450546,21.9992960225273,21.9992960225273,43.9985920450546,"RO",2010,2021,"(1e+04,1e+05]"
"2",1100023,0.599851798167396,0.865242337163951,5.55620942506763,2,"[42-6]",10,"[5.93564356435644-15.6842105263158]",109523,4.56525113446491,4.56525113446491,9.13050226892981,4.56525113446491,4.56525113446491,9.13050226892981,"RO",2010,2021,"(1e+05,1e+06]"
"3",1100031,1.40287324445708,0.607589540601498,49.9609308941545,2,"[48-16]",8,"[3-11.3421052631579]",5188,96.3762528912876,96.3762528912876,192.752505782575,96.3762528912876,96.3762528912876,192.752505782575,"RO",2010,2021,"(1e+03,1e+04]"
"4",1100049,0.969916970725083,1.22456188522818,11.5688490387135,2,"[43-5]",14,"[8.93564356435644-21.0263157894737]",85893,5.82119613938272,5.82119613938272,16.2993491902716,5.82119613938272,5.82119613938272,11.6423922787654,"RO",2010,2021,"(1e+04,1e+05]"
"5",1100056,2.7602598312354,1.55095496696085,44.1871326766717,3,"[41-10]",9,"[6-15.0263157894737]",16204,30.8565786225623,30.8565786225623,61.7131572451247,30.8565786225623,30.8565786225623,61.7131572451247,"RO",2010,2021,"(1e+04,1e+05]"
"6",1100064,1.85293674494478,1.71843843122016,42.8259167336652,4,"[45-19]",10,"[6.93564356435644-14.3421052631579]",15544,32.1667524446732,32.1667524446732,64.3335048893464,32.1667524446732,32.1667524446732,64.3335048893464,"RO",2010,2021,"(1e+04,1e+05]"
"7",1100072,0.963800322585105,0.64100620329156,36.4633551166306,4,"[46-8]",10,"[2.93564356435644-15.0263157894737]",7220,69.2520775623269,69.2520775623269,138.504155124654,69.2520775623269,69.2520775623269,138.504155124654,"RO",2010,2021,"(1e+03,1e+04]"
"8",1100080,0.607726114847911,0.612897439624766,28.7007643051012,2,"[46-6]",9,"[5.87128712871287-11]",18798,26.5985743164166,26.5985743164166,53.1971486328333,26.5985743164166,26.5985743164166,53.1971486328333,"RO",2010,2021,"(1e+04,1e+05]"
"9",1100098,1.92339181279113,0.872339594172207,27.4726596403058,4,"[45-38]",10,"[6.80693069306931-16.7105263157895]",32695,15.2928582352042,15.2928582352042,42.0553601468114,15.2928582352042,15.2928582352042,30.5857164704083,"RO",2010,2021,"(1e+04,1e+05]"
"10",1100106,1.47111527876339,1.099307986327,21.407467727018,2,"[47-10]",6,"[4.93564356435644-11.6842105263158]",46556,10.7397542744222,10.7397542744222,30.0713119683822,10.7397542744222,10.7397542744222,21.4795085488444,"RO",2010,2021,"(1e+04,1e+05]"
