"","municipio_geocodigo","inc_preseason","inc_posseason","inc_epidemico","inicio","inicio.ic","duracao","duracao.ic","pop","limiar_preaseason","limiar_posseason","limiar_epidemico","mininc_pre","mininc_pos","mininc_epi","uf","ano_ini","ano_fim","pop_cat"
"1",1100015,4.35024436365812,3.52172835330986,50.1002144954385,2,"[48-14]",8,"[4-11.3423423423423]",22728,21.9992960225273,21.9992960225273,50.1002144954385,21.9992960225273,21.9992960225273,43.9985920450546,"RO",2010,2022,"(1e+04,1e+05]"
"2",1100023,2.23685128246482,2.14598552775327,10.9407537111008,4,"[51-17]",10,"[5.65765765765766-14.3423423423423]",109523,4.56525113446491,4.56525113446491,10.9407537111008,4.56525113446491,4.56525113446491,9.13050226892981,"RO",2010,2022,"(1e+05,1e+06]"
"3",1100031,1.41117645250573,1.13520690638749,70.8743686833978,9,"[51-18]",6,"[3.65765765765766-12]",5188,96.3762528912876,96.3762528912876,192.752505782575,96.3762528912876,96.3762528912876,192.752505782575,"RO",2010,2022,"(1e+03,1e+04]"
"4",1100049,2.88417143968156,3.49939398476773,23.2887264868699,3,"[2-15]",12,"[8.65765765765766-15.3423423423423]",85893,5.82119613938272,5.82119613938272,23.2887264868699,5.82119613938272,5.82119613938272,11.6423922787654,"RO",2010,2022,"(1e+04,1e+05]"
"5",1100056,1.92450105524037,1.96335830373902,62.0473012205172,5,"[2-12]",8,"[7-10.6846846846847]",16204,30.8565786225623,30.8565786225623,62.0473012205172,30.8565786225623,30.8565786225623,61.7131572451247,"RO",2010,2022,"(1e+04,1e+05]"
"6",1100064,2.67717939230813,2.20067248257847,39.2184134677336,9,"[2-18]",8,"[4.65765765765766-16]",15544,32.1667524446732,32.1667524446732,96.5002573340196,32.1667524446732,32.1667524446732,64.3335048893464,"RO",2010,2022,"(1e+04,1e+05]"
"7",1100072,0.925960749443665,0.743590012269971,24.7104156356621,8,"[3-11]",9,"[4-9.34234234234234]",7220,69.2520775623269,69.2520775623269,138.504155124654,69.2520775623269,69.2520775623269,138.504155124654,"RO",2010,2022,"(1e+03,1e+04]"
"8",1100080,0.547188937864317,0.537079297117785,20.8460431904855,4,"[50-15]",10,"[5.31531531531532-12.3423423423423]",18798,26.5985743164166,26.5985743164166,53.1971486328333,26.5985743164166,26.5985743164166,53.1971486328333,"RO",2010,2022,"(1e+04,1e+05]"
"9",1100098,3.08489971071212,2.76956220536545,49.0929237489568,4,"[47-17]",10,"[4.65765765765766-11]",32695,15.2928582352042,15.2928582352042,49.0929237489568,15.2928582352042,15.2928582352042,30.5857164704083,"RO",2010,2022,"(1e+04,1e+05]"
"10",1100106,1.42298124362194,1.02429104962755,15.1112233986626,7,"[47-12]",10,"[4.97297297297297-14.3423423423423]",46556,10.7397542744222,10.7397542744222,56.1689148552281,10.7397542744222,10.7397542744222,21.4795085488444,"RO",2010,2022,"(1e+04,1e+05]"
"11",1100114,1.1888778921821,1.44484600273291,13.9754504552436,10,"[2-16]",10,"[7.31531531531532-13.3423423423423]",51620,9.68616815187912,9.68616815187912,34.8702053467648,9.68616815187912,9.68616815187912,19.3723363037582,"RO",2010,2022,"(1e+04,1e+05]"
"12",1100122,1.93313568560532,2.19548699967561,18.5428133224322,2,"[52-6]",8,"[6.65765765765766-13.3693693693694]",130009,3.84588759239745,3.84588759239745,18.5428133224322,3.84588759239745,3.84588759239745,7.6917751847949,"RO",2010,2022,"(1e+05,1e+06]"
"13",1100130,2.62547843726056,3.33494344130156,26.4733618754504,9,"[47-15]",10,"[5.65765765765766-11]",40867,12.2348104827856,12.2348104827856,26.4733618754504,12.2348104827856,12.2348104827856,24.4696209655712,"RO",2010,2022,"(1e+04,1e+05]"
"14",1100148,3.84783539487131,3.60476325064595,70.936561529736,4,"[1-8]",14,"[9.97297297297298-16.027027027027]",20489,24.4033383766899,24.4033383766899,70.936561529736,24.4033383766899,24.4033383766899,48.8066767533799,"RO",2010,2022,"(1e+04,1e+05]"
"15",1100155,1.81654381575868,1.64104142874272,11.3006389522512,4,"[51-11]",10,"[4.97297297297297-12]",35737,13.9911016593447,13.9911016593447,27.9822033186893,13.9911016593447,13.9911016593447,27.9822033186893,"RO",2010,2022,"(1e+04,1e+05]"
"16",1100189,3.21077470250542,2.90251036972021,39.2863794723212,6,"[1-12]",9,"[5.65765765765766-14.3423423423423]",36881,13.5571161302568,13.5571161302568,39.2863794723212,13.5571161302568,13.5571161302568,27.1142322605135,"RO",2010,2022,"(1e+04,1e+05]"
"17",1100205,2.27162722549767,2.56220225428032,12.0808130088639,3,"[52-12]",9,"[6.65765765765766-11.3423423423423]",539354,2.27162722549767,2.56220225428032,12.0808130088639,0.927034934384467,0.927034934384467,1.85406986876893,"RO",2010,2022,"(1e+05,1e+06]"
"18",1100254,3.62513816413837,3.31058702462258,67.9129105724899,8,"[6-12]",9,"[6-12.3423423423423]",18571,26.9236982391901,26.9236982391901,67.9129105724899,26.9236982391901,26.9236982391901,53.8473964783803,"RO",2010,2022,"(1e+04,1e+05]"
"19",1100288,1.70860527216497,1.43313837870624,20.9161219198234,6,"[51-19]",11,"[5.65765765765766-12.6846846846847]",55407,9.02413052502391,9.02413052502391,20.9161219198234,9.02413052502391,9.02413052502391,18.0482610500478,"RO",2010,2022,"(1e+04,1e+05]"
"20",1101302,0.832613196164366,0.441663298146977,13.7150481496677,5,"[51-19]",4,"[3-7.02702702702703]",10818,46.2192641893141,46.2192641893141,92.4385283786282,46.2192641893141,46.2192641893141,92.4385283786282,"RO",2010,2022,"(1e+04,1e+05]"
"21",1100262,0.390100242839962,0.47582098855694,32.1843870953876,10,"[7-14]",6,"[2.65765765765766-12.7387387387387]",3804,131.440588853838,131.440588853838,262.881177707676,131.440588853838,131.440588853838,262.881177707676,"RO",2010,2022,"(1e+03,1e+04]"
"22",1100320,0.792570941034473,0.945706931419756,20.323841185242,9,"[1-14]",6,"[4.31531531531532-10.3423423423423]",23077,21.6665944446852,21.6665944446852,65.649781167396,21.6665944446852,21.6665944446852,43.3331888893704,"RO",2010,2022,"(1e+04,1e+05]"
"23",1100338,0.958682723196592,0.685143134303667,14.4590169469712,7,"[51-15]",8,"[3-14]",31392,15.927624872579,15.927624872579,31.855249745158,15.927624872579,15.927624872579,31.855249745158,"RO",2010,2022,"(1e+04,1e+05]"
"24",1100346,1.03423624187518,1.99674108982317,39.9006041637562,2,"[47-21]",8,"[4.97297297297297-12.3423423423423]",14106,35.4459095420388,35.4459095420388,85.0701829008932,35.4459095420388,35.4459095420388,70.8918190840777,"RO",2010,2022,"(1e+04,1e+05]"
"25",1100379,1.68517280517381,0.887850455561999,22.8828740999056,2,"[49-8]",8,"[5.65765765765766-12.6846846846847]",13255,37.7216144851,37.7216144851,75.4432289701999,37.7216144851,37.7216144851,75.4432289701999,"RO",2010,2022,"(1e+04,1e+05]"
"26",1100403,1.41301289515401,0.551489309611249,11.7043770582756,4,"[1-12]",8,"[7-11.3423423423423]",21847,22.8864374971392,22.8864374971392,45.7728749942784,22.8864374971392,22.8864374971392,45.7728749942784,"RO",2010,2022,"(1e+04,1e+05]"
"27",1100502,0.499501198151084,0.373129901108224,18.3966719207564,6,"[52-21]",6,"[2-8.68468468468468]",8329,60.0312162324409,60.0312162324409,120.062432464882,60.0312162324409,60.0312162324409,120.062432464882,"RO",2010,2022,"(1e+03,1e+04]"
"28",1100601,0.245342848394809,0.639810642333696,29.0478126040921,13,"[2-17]",4,"[2.65765765765766-8.02702702702702]",6269,79.7575370872547,79.7575370872547,159.515074174509,79.7575370872547,79.7575370872547,159.515074174509,"RO",2010,2022,"(1e+03,1e+04]"
"29",1100700,1.95879627237547,2.65760591446926,48.7439081574599,8,"[51-18]",6,"[4-8]",14266,35.0483667461096,35.0483667461096,70.0967334922193,35.0483667461096,35.0483667461096,70.0967334922193,"RO",2010,2022,"(1e+04,1e+05]"
"30",1100809,1.20405145457692,0.706990647612888,8.18389365159327,2,"[50-6]",8,"[6.31531531531532-11.3423423423423]",27388,18.256170585658,18.256170585658,36.5123411713159,18.256170585658,18.256170585658,36.5123411713159,"RO",2010,2022,"(1e+04,1e+05]"
"31",1100908,0.165897997731035,0.904691109084852,34.489647057144,6,"[51-29]",5,"[3.65765765765766-7.34234234234234]",2987,167.39203213927,167.39203213927,334.78406427854,167.39203213927,167.39203213927,334.78406427854,"RO",2010,2022,"(1e+03,1e+04]"
"32",1100924,0.979983663158322,1.92607221137127,26.6343032531681,9,"[2-24]",6,"[4-12.0883720930233]",11472,43.5843793584379,43.5843793584379,87.1687587168759,43.5843793584379,43.5843793584379,87.1687587168759,"RO",2010,2022,"(1e+04,1e+05]"
"33",1100940,0.678790932858807,0.691966619342027,7.71742939363534,6,"[46-15]",6,"[2.65765765765766-7.68468468468468]",26183,19.0963602337394,19.0963602337394,38.1927204674789,19.0963602337394,19.0963602337394,38.1927204674789,"RO",2010,2022,"(1e+04,1e+05]"
"34",1101005,0.379605111306799,0.549540531780022,19.778537029406,10,"[46-22]",4,"[2.65765765765766-6.68468468468468]",7445,67.1591672263264,67.1591672263264,134.318334452653,67.1591672263264,67.1591672263264,134.318334452653,"RO",2010,2022,"(1e+03,1e+04]"
"35",1101104,1.58271969799776,2.26382961721562,31.586284570604,6,"[49-20]",8,"[3-9]",10641,46.988065031482,46.988065031482,93.976130062964,46.988065031482,46.988065031482,93.976130062964,"RO",2010,2022,"(1e+04,1e+05]"
"36",1101484,1.73549238655811,2.32154209787715,59.3500391179171,6,"[50-16]",6,"[3.65765765765766-9.34234234234234]",5066,98.6971969996052,98.6971969996052,197.39439399921,98.6971969996052,98.6971969996052,197.39439399921,"RO",2010,2022,"(1e+03,1e+04]"
"37",1101559,0.365875716767641,0.510786853137524,41.0068141897912,4,"[46-11]",5,"[2.65765765765766-10.027027027027]",4233,118.119536971415,118.119536971415,236.23907394283,118.119536971415,118.119536971415,236.23907394283,"RO",2010,2022,"(1e+03,1e+04]"
