"","nome","pre","pos","veryhigh","inicio","inicio.ic","duracao","duracao.ic","quant_pre","quant_pos","quant_epidemico","mininc_pre","mininc_pos","mininc_epi","ano_inicio","ano_fim","populacao","cid10","uf","regional_id"
"1","Baixo Acre e Purus",12.7475357342903,9.05037767934977,52.8272637845634,1,"[48-8]",11,"[8-15.3423423423423]",3.93409198591253,3.93409198591253,201.408404930957,0.855237388241854,0.855237388241854,1.71047477648371,2010,2022,584633,"A90","AC",12002
"2","Alto Acre",11.2302445317616,8.68284930063641,77.6958428606415,1,"[46-7]",12,"[8.63063063063063-14.6846846846847]",6.89388925656298,6.89388925656298,130.018751378778,6.89388925656298,6.89388925656298,13.787778513126,2010,2022,72528,"A90","AC",12001
"3","Juruá e Tarauacá/Envira",13.3656303523572,26.7542359691538,177.395108854939,52,"[43-9]",8,"[6.31531531531532-10.3423423423423]",2.10695759537144,2.10695759537144,320.320763224319,2.10695759537144,2.10695759537144,4.21391519074287,2010,2022,237309,"A90","AC",12003
"4","Alto Solimões",3.53781839945336,3.77105338441372,27.8217727380442,2,"[51-17]",8,"[5-10.6846846846847]",1.96575652139726,1.96575652139726,52.6822747734466,1.96575652139726,1.96575652139726,3.93151304279452,2010,2022,254355,"A90","AM",13009
"5","Manaus, Entorno e Alto Rio Negro",2.30304863975724,3.06283374031513,12.6335225570526,9,"[3-14]",8,"[2.65765765765766-13.6846846846847]",1.25941940765307,1.25941940765307,22.5798634102406,0.190821122371678,0.190821122371678,0.381642244743355,2010,2022,2620255,"A90","AM",13001
"6","Baixo Amazonas",0.724087819737098,0.972961190364533,3.61135877944487,4,"[2-14]",10,"[6.31531531531532-12.6846846846847]",1.96885274950286,1.96885274950286,7.87541099801146,1.96885274950286,1.96885274950286,3.93770549900573,2010,2022,253955,"A90","AM",13005
"7","Triângulo",7.03226947743253,6.14525479029231,24.3091833150664,12,"[3-20]",9,"[6.65765765765766-12.3423423423423]",3.99760143913652,3.99760143913652,52.8882670397761,3.99760143913652,3.99760143913652,7.99520287827304,2010,2022,125075,"A90","AM",13008
"8","Rio Negro e Solimões",1.91585685465829,1.711332979686,10.5349376388957,5,"[1-13]",8,"[6-12]",1.65389309896566,1.65389309896566,25.2384086902159,1.65389309896566,1.65389309896566,3.30778619793131,2010,2022,302317,"A90","AM",13002
"9","Rio Madeira",3.54482340147684,4.5645463334909,23.5054883782736,2,"[50-5]",11,"[8-14.3693693693694]",2.46451104100946,2.46451104100946,41.0587539432176,2.46451104100946,2.46451104100946,4.92902208201893,2010,2022,202880,"A90","AM",13003
"10","Regional Purus",2.35743754788857,2.4102574261274,15.6173683706038,2,"[52-11]",10,"[7.97297297297298-10.3423423423423]",3.73521787525866,3.73521787525866,47.8107888033109,3.73521787525866,3.73521787525866,7.47043575051733,2010,2022,133861,"A90","AM",13006
"11","Regional Juruá",2.03564269821668,4.09596474514203,24.9314620596379,6,"[50-13]",9,"[7.65765765765766-14.3423423423423]",3.57684493661831,3.57684493661831,56.1206970555412,3.57684493661831,3.57684493661831,7.15368987323662,2010,2022,139788,"A90","AM",13007
"12","Médio Amazonas",0.838202351191939,0.893203507908749,7.72746472694398,5,"[3-9]",12,"[4.65765765765766-14]",2.85342525167211,2.85342525167211,14.2671262583605,2.85342525167211,2.85342525167211,5.70685050334421,2010,2022,175228,"A90","AM",13004
"13","Área Central",2.8691867574838,3.61560375733896,9.85631870472727,9,"[5-30]",8,"[5.65765765765766-9]",0.865659961841709,0.865659961841709,15.3394945238351,0.865659961841709,0.865659961841709,1.73131992368342,2010,2022,577594,"A90","AP",16001
"14","Área Norte",2.21271491168554,1.84928908838863,18.1920860761454,6,"[51-21]",8,"[4-12]",7.00142829137144,7.00142829137144,57.4117119892458,7.00142829137144,7.00142829137144,14.0028565827429,2010,2022,71414,"A90","AP",16002
