"nid","probRt1","n","terminal","regra","uf","regional","nRt1"
7,0.0132978723404255,376,1,"inc_3 <= 85.7908847184987 & inc_3 > 10.9063147562439 & temp_min_3 <= 21.3","SP","Pontal do Paranapanema",5
4,0.000598802395209581,1670,1,"inc_3 <= 85.7908847184987 & inc_3 <= 10.9063147562439 & umid_max_1 <= 98.2","SP","Pontal do Paranapanema",1
11,0.307692307692308,13,1,"inc_3 > 21.1118930330753 & temp_min_1 > 29.3","SP","Alto Capivari",4
6,0.103448275862069,29,1,"inc_3 <= 21.1118930330753 & temp_min_3 > 29","SP","Alto Capivari",3
10,0.0804020100502513,199,1,"inc_3 > 21.1118930330753 & temp_min_1 <= 29.3 & temp_min_2 > 20.8","SP","Alto Capivari",16
5,0.0714285714285714,28,1,"inc_3 <= 21.1118930330753 & temp_min_3 <= 29 & temp_min_2 > 29","SP","Alto Capivari",2
9,0.00921658986175115,217,1,"inc_3 > 21.1118930330753 & temp_min_1 <= 29.3 & temp_min_2 <= 20.8","SP","Alto Capivari",2
4,0.0019387359441644,2579,1,"inc_3 <= 21.1118930330753 & temp_min_3 <= 29 & temp_min_2 <= 29","SP","Alto Capivari",5
7,0.218390804597701,174,1,"inc_3 > 16.6694449074846 & temp_min_1 > 18.3","SP","Alta Anhanguera",38
4,0.0180360721442886,499,1,"inc_3 <= 16.6694449074846 & temp_min_3 > 20.9","SP","Alta Anhanguera",9
3,0.00190355329949239,1576,1,"inc_3 <= 16.6694449074846 & temp_min_3 <= 20.9","SP","Alta Anhanguera",3
6,0,127,1,"inc_3 > 16.6694449074846 & temp_min_1 <= 18.3","SP","Alta Anhanguera",0
10,0.625,16,1,"temp_min_3 > 21.4 & umid_min_3 <= 45.7","SP","Baixa Mogiana",10
8,0.2,50,1,"temp_min_3 <= 21.4 & temp_min_2 > 18.5 & temp_max_2 > 33.2","SP","Baixa Mogiana",10
5,0.16,25,1,"temp_min_3 <= 21.4 & temp_min_2 <= 18.5 & inc_3 > 154.868557762051","SP","Baixa Mogiana",4
7,0.0507246376811594,690,1,"temp_min_3 <= 21.4 & temp_min_2 > 18.5 & temp_max_2 <= 33.2","SP","Baixa Mogiana",35
11,0.0476190476190476,21,1,"temp_min_3 > 21.4 & umid_min_3 > 45.7","SP","Baixa Mogiana",1
4,0.0104039167686659,1634,1,"temp_min_3 <= 21.4 & temp_min_2 <= 18.5 & inc_3 <= 154.868557762051","SP","Baixa Mogiana",17
7,0.168674698795181,83,1,"temp_min_2 > 21.2 & inc_3 > 31.5457413249211 & temp_max_1 > 30.7","SP","Santa Fé do Sul",14
6,0.0479704797047971,271,1,"temp_min_2 > 21.2 & inc_3 > 31.5457413249211 & temp_max_1 <= 30.7","SP","Santa Fé do Sul",13
4,0.00780572419774501,1153,1,"temp_min_2 > 21.2 & inc_3 <= 31.5457413249211","SP","Santa Fé do Sul",9
2,0.00190961171228517,1571,1,"temp_min_2 <= 21.2","SP","Santa Fé do Sul",3
7,0.484615384615385,130,1,"temp_min_1 > 17 & temp_max_2 > 24.3 & umid_max_1 > 86.9","SP","São Paulo",63
6,0.25609756097561,82,1,"temp_min_1 > 17 & temp_max_2 > 24.3 & umid_max_1 <= 86.9","SP","São Paulo",21
4,0.0983606557377049,122,1,"temp_min_1 > 17 & temp_max_2 <= 24.3","SP","São Paulo",12
2,0.0333333333333333,300,1,"temp_min_1 <= 17","SP","São Paulo",10
8,0.355769230769231,104,1,"inc_3 > 14.0066845694635 & temp_min_2 > 20.7 & umid_max_2 <= 94.9","RJ","Litoral Sul",37
9,0.06,50,1,"inc_3 > 14.0066845694635 & temp_min_2 > 20.7 & umid_max_2 > 94.9","RJ","Litoral Sul",3
4,0.0298273155416013,637,1,"inc_3 <= 14.0066845694635 & temp_max_1 > 27.1","RJ","Litoral Sul",19
6,0.0222222222222222,135,1,"inc_3 > 14.0066845694635 & temp_min_2 <= 20.7","RJ","Litoral Sul",3
3,0,699,1,"inc_3 <= 14.0066845694635 & temp_max_1 <= 27.1","RJ","Litoral Sul",0
11,0.158371040723982,442,1,"inc_3 > 10.597302504817 & temp_min_1 > 22.3","RJ","Noroeste",70
6,0.0789473684210526,152,1,"inc_3 <= 10.597302504817 & inc_3 > 1.92678227360308 & temp_min_1 > 23","RJ","Noroeste",12
10,0.0621621621621622,370,1,"inc_3 > 10.597302504817 & temp_min_1 <= 22.3 & temp_min_1 > 20.1","RJ","Noroeste",23
9,0.0200617283950617,648,1,"inc_3 > 10.597302504817 & temp_min_1 <= 22.3 & temp_min_1 <= 20.1","RJ","Noroeste",13
5,0.0131004366812227,916,1,"inc_3 <= 10.597302504817 & inc_3 > 1.92678227360308 & temp_min_1 <= 23","RJ","Noroeste",12
3,0.0019547157517511,6139,1,"inc_3 <= 10.597302504817 & inc_3 <= 1.92678227360308","RJ","Noroeste",12
8,0.529411764705882,17,1,"temp_max_3 <= 28 & temp_max_1 > 30 & inc_3 > 24.2743697333287","RJ","Baixada Litorânea",9
15,0.366863905325444,169,1,"temp_max_3 > 28 & inc_3 > 15.5413956173264 & temp_min_1 > 21.7","RJ","Baixada Litorânea",62
14,0.122641509433962,106,1,"temp_max_3 > 28 & inc_3 > 15.5413956173264 & temp_min_1 <= 21.7","RJ","Baixada Litorânea",13
12,0.121457489878543,247,1,"temp_max_3 > 28 & inc_3 <= 15.5413956173264 & inc_3 > 3.72320225179272","RJ","Baixada Litorânea",30
7,0.0454545454545455,176,1,"temp_max_3 <= 28 & temp_max_1 > 30 & inc_3 <= 24.2743697333287","RJ","Baixada Litorânea",8
5,0.0393700787401575,254,1,"temp_max_3 <= 28 & temp_max_1 <= 30 & temp_max_2 > 28.6","RJ","Baixada Litorânea",10
4,0.00841093421447882,3329,1,"temp_max_3 <= 28 & temp_max_1 <= 30 & temp_max_2 <= 28.6","RJ","Baixada Litorânea",28
11,0.00745341614906832,805,1,"temp_max_3 > 28 & inc_3 <= 15.5413956173264 & inc_3 <= 3.72320225179272","RJ","Baixada Litorânea",6
12,0.192307692307692,26,1,"inc_3 > 23.3208955223881 & temp_min_1 <= 19.7 & umid_max_1 > 98","RJ","Centro Sul",5
8,0.1875,32,1,"inc_3 <= 23.3208955223881 & inc_3 > 4.49256480524732 & temp_max_3 > 33.9","RJ","Centro Sul",6
13,0.17816091954023,174,1,"inc_3 > 23.3208955223881 & temp_min_1 > 19.7","RJ","Centro Sul",31
4,0.0392156862745098,51,1,"inc_3 <= 23.3208955223881 & inc_3 <= 4.49256480524732 & umid_max_2 <= 77.1","RJ","Centro Sul",2
7,0.024822695035461,564,1,"inc_3 <= 23.3208955223881 & inc_3 > 4.49256480524732 & temp_max_3 <= 33.9","RJ","Centro Sul",14
11,0.0123456790123457,162,1,"inc_3 > 23.3208955223881 & temp_min_1 <= 19.7 & umid_max_1 <= 98","RJ","Centro Sul",2
5,0.00263371150729335,4936,1,"inc_3 <= 23.3208955223881 & inc_3 <= 4.49256480524732 & umid_max_2 > 77.1","RJ","Centro Sul",13
13,0.436241610738255,149,1,"temp_min_3 > 21 & inc_3 > 17.3831549670476 & temp_min_1 > 21.9","RJ","Médio Paraíba",65
12,0.164021164021164,189,1,"temp_min_3 > 21 & inc_3 > 17.3831549670476 & temp_min_1 <= 21.9","RJ","Médio Paraíba",31
6,0.148148148148148,135,1,"temp_min_3 <= 21 & temp_min_1 > 18.9 & inc_3 > 13.5386698256896","RJ","Médio Paraíba",20
10,0.0818181818181818,550,1,"temp_min_3 > 21 & inc_3 <= 17.3831549670476 & inc_3 > 2.26736803918012","RJ","Médio Paraíba",45
9,0.00866551126516464,1731,1,"temp_min_3 > 21 & inc_3 <= 17.3831549670476 & inc_3 <= 2.26736803918012","RJ","Médio Paraíba",15
5,0.005380476556495,1301,1,"temp_min_3 <= 21 & temp_min_1 > 18.9 & inc_3 <= 13.5386698256896","RJ","Médio Paraíba",7
3,0.00197083169097359,2537,1,"temp_min_3 <= 21 & temp_min_1 <= 18.9","RJ","Médio Paraíba",5
15,0.418367346938776,294,1,"temp_max_2 > 27.9 & inc_3 > 3.07327297425212 & temp_max_1 > 30","RJ","Metropolitana I",123
14,0.185542168674699,415,1,"temp_max_2 > 27.9 & inc_3 > 3.07327297425212 & temp_max_1 <= 30","RJ","Metropolitana I",77
12,0.112522686025408,551,1,"temp_max_2 > 27.9 & inc_3 <= 3.07327297425212 & inc_3 > 0.963274778576472","RJ","Metropolitana I",62
8,0.0523809523809524,840,1,"temp_max_2 <= 27.9 & temp_max_1 > 27.2 & temp_min_2 > 18","RJ","Metropolitana I",44
5,0.0358306188925081,614,1,"temp_max_2 <= 27.9 & temp_max_1 <= 27.2 & inc_3 > 2.74896068140392","RJ","Metropolitana I",22
11,0.0261875761266748,1642,1,"temp_max_2 > 27.9 & inc_3 <= 3.07327297425212 & inc_3 <= 0.963274778576472","RJ","Metropolitana I",43
7,0.0159090909090909,440,1,"temp_max_2 <= 27.9 & temp_max_1 > 27.2 & temp_min_2 <= 18","RJ","Metropolitana I",7
4,0.00714853057982526,2518,1,"temp_max_2 <= 27.9 & temp_max_1 <= 27.2 & inc_3 <= 2.74896068140392","RJ","Metropolitana I",18
11,0.298611111111111,144,1,"inc_3 > 20.9250986095272 & temp_max_1 > 28","RJ","Serrana",43
8,0.184210526315789,76,1,"inc_3 <= 20.9250986095272 & inc_3 > 2.60859924741912 & temp_max_1 > 31","RJ","Serrana",14
10,0.0614035087719298,228,1,"inc_3 > 20.9250986095272 & temp_max_1 <= 28","RJ","Serrana",14
7,0.0307467057101025,683,1,"inc_3 <= 20.9250986095272 & inc_3 > 2.60859924741912 & temp_max_1 <= 31","RJ","Serrana",21
5,0.015,400,1,"inc_3 <= 20.9250986095272 & inc_3 <= 2.60859924741912 & inc_3 > 0.652149811854779","RJ","Serrana",6
4,0.000414536410114688,7237,1,"inc_3 <= 20.9250986095272 & inc_3 <= 2.60859924741912 & inc_3 <= 0.652149811854779","RJ","Serrana",3
7,0.159309021113244,521,1,"inc_3 > 4.97130030095487 & temp_min_1 > 20.4","RJ","Norte",83
4,0.0306748466257669,652,1,"inc_3 <= 4.97130030095487 & inc_3 > 0.195630399399023","RJ","Norte",20
6,0.0261437908496732,612,1,"inc_3 > 4.97130030095487 & temp_min_1 <= 20.4","RJ","Norte",16
3,0.00217864923747277,3213,1,"inc_3 <= 4.97130030095487 & inc_3 <= 0.195630399399023","RJ","Norte",7
8,0.341880341880342,117,1,"temp_max_2 <= 29.4 & inc_3 > 18.1599062288478 & temp_min_2 > 22.4","RJ","Metropolitana II",40
12,0.295454545454545,44,1,"temp_max_2 > 29.4 & umid_min_2 <= 56.9 & inc_3 > 13.7779002480022","RJ","Metropolitana II",13
15,0.280487804878049,246,1,"temp_max_2 > 29.4 & umid_min_2 > 56.9 & temp_max_1 > 30.1","RJ","Metropolitana II",69
14,0.104477611940299,268,1,"temp_max_2 > 29.4 & umid_min_2 > 56.9 & temp_max_1 <= 30.1","RJ","Metropolitana II",28
5,0.0408921933085502,1076,1,"temp_max_2 <= 29.4 & inc_3 <= 18.1599062288478 & inc_3 > 0.641180064429437","RJ","Metropolitana II",44
7,0.0359712230215827,278,1,"temp_max_2 <= 29.4 & inc_3 > 18.1599062288478 & temp_min_2 <= 22.4","RJ","Metropolitana II",10
11,0.0245901639344262,244,1,"temp_max_2 > 29.4 & umid_min_2 <= 56.9 & inc_3 <= 13.7779002480022","RJ","Metropolitana II",6
4,0.00474833808167141,2106,1,"temp_max_2 <= 29.4 & inc_3 <= 18.1599062288478 & inc_3 <= 0.641180064429437","RJ","Metropolitana II",10
