"nid","probRt1","n","terminal","regra","uf","regional","nRt1"
4,0.00239234449760766,5852,1,"temp_min_2 <= 22.9 & temp_max_1 <= 24.8 & inc_3 <= 203.551624903488","SP","Vale do Ribeira",14
0,NA,45,NA,"no fit","SP","Horizonte Verde",NA
9,0.467391304347826,92,1,"temp_max_1 > 25 & temp_min_3 > 19.6 & inc_3 > 5.62188600220659","SP","Rota dos Bandeirantes",43
8,0.0486815415821501,493,1,"temp_max_1 > 25 & temp_min_3 > 19.6 & inc_3 <= 5.62188600220659","SP","Rota dos Bandeirantes",24
6,0.0467741935483871,620,1,"temp_max_1 > 25 & temp_min_3 <= 19.6 & temp_min_3 > 17.1","SP","Rota dos Bandeirantes",29
2,0.00411368735976066,2674,1,"temp_max_1 <= 25","SP","Rota dos Bandeirantes",11
5,0.00176991150442478,565,1,"temp_max_1 > 25 & temp_min_3 <= 19.6 & temp_min_3 <= 17.1","SP","Rota dos Bandeirantes",1
5,0.111111111111111,72,1,"inc_3 > 140.545419379795","SP","Sul - Barretos",8
4,0.026978417266187,556,1,"inc_3 <= 140.545419379795 & inc_3 > 1.28940751724583","SP","Sul - Barretos",15
3,0.0014402304368699,2083,1,"inc_3 <= 140.545419379795 & inc_3 <= 1.28940751724583","SP","Sul - Barretos",3
15,0.3,70,1,"inc_3 > 26.5445616829252 & temp_max_1 > 28.1 & umid_max_1 > 72.6","SP","Ourinhos",21
12,0.242424242424242,33,1,"inc_3 > 26.5445616829252 & temp_max_1 <= 28.1 & umid_max_3 > 89.2","SP","Ourinhos",8
8,0.155555555555556,45,1,"inc_3 <= 26.5445616829252 & inc_3 > 0 & temp_min_3 > 28.7","SP","Ourinhos",7
11,0.0432569974554707,393,1,"inc_3 > 26.5445616829252 & temp_max_1 <= 28.1 & umid_max_3 <= 89.2","SP","Ourinhos",17
7,0.0220673635307782,861,1,"inc_3 <= 26.5445616829252 & inc_3 > 0 & temp_min_3 <= 28.7","SP","Ourinhos",19
14,0.0204081632653061,49,1,"inc_3 > 26.5445616829252 & temp_max_1 > 28.1 & umid_max_1 <= 72.6","SP","Ourinhos",1
5,0.0101449275362319,690,1,"inc_3 <= 26.5445616829252 & inc_3 <= 0 & temp_max_3 > 30","SP","Ourinhos",7
4,0.00159404888416578,5646,1,"inc_3 <= 26.5445616829252 & inc_3 <= 0 & temp_max_3 <= 30","SP","Ourinhos",9
12,0.465909090909091,352,1,"temp_min_1 > 18.9 & inc_3 > 6.07782656921885 & umid_min_3 <= 64.4","SP","Baixada Santista",164
10,0.285714285714286,21,1,"temp_min_1 > 18.9 & inc_3 <= 6.07782656921885 & temp_max_1 > 33.4","SP","Baixada Santista",6
13,0.173076923076923,156,1,"temp_min_1 > 18.9 & inc_3 > 6.07782656921885 & umid_min_3 > 64.4","SP","Baixada Santista",27
6,0.0505144995322732,1069,1,"temp_min_1 <= 18.9 & temp_max_3 > 24.3 & temp_min_1 > 14.6","SP","Baixada Santista",54
9,0.0399214659685864,1528,1,"temp_min_1 > 18.9 & inc_3 <= 6.07782656921885 & temp_max_1 <= 33.4","SP","Baixada Santista",61
5,0.00606060606060606,330,1,"temp_min_1 <= 18.9 & temp_max_3 > 24.3 & temp_min_1 <= 14.6","SP","Baixada Santista",2
3,0.00356030262572319,2247,1,"temp_min_1 <= 18.9 & temp_max_3 <= 24.3","SP","Baixada Santista",8
0,NA,45,NA,"no fit","SP","Centro Oeste do DRS III",NA
11,0.28125,160,1,"inc_3 > 6.00084011761647 & temp_min_1 > 17.4 & temp_max_3 > 27.3","SP","Jundiaí",45
