"SE","APS","casos","tweets","temp","Rt","casos_est","Rt_est","temp_crit","casos_crit","alertaRt1","alertaTemp","alertaCasos"
201105,"AP1",74,108,24.8571428571429,1.43,65.1873189327237,1.38696423261114,22,204.742725769793,1,1,0
201106,"AP1",87,203,24.7142857142857,1.45454545454545,120.661673706306,1.63056315819332,22,204.742725769793,1,1,0
201107,"AP1",123,218,24.2857142857143,1.36538461538462,117.45241625494,1.35002777304529,22,204.742725769793,1,1,0
201108,"AP1",137,248,24.4285714285714,1.22183098591549,146.290317709359,1.18935217649885,22,204.742725769793,1,1,0
201109,"AP1",126,251,23,1.11239193083573,152.739375012361,1.11488594899533,22,204.742725769793,1,1,0
201110,"AP1",120,196,22.7142857142857,0.992227979274611,126.926931276125,1.00735659742956,22,204.742725769793,1,1,0
201111,"AP1",168,324,23.1428571428571,1.08093994778068,140.92043559572,1.17433696329767,22,204.742725769793,1,1,0
201112,"AP1",264,695,22.7142857142857,1.33333333333333,268.862792377625,1.60037376415253,22,204.742725769793,1,1,1
201113,"AP1",264,800,23.4285714285714,1.26086956521739,362.080966160353,1.37151881121346,22,204.742725769793,1,1,1
201114,"AP1",298,789,22.1428571428571,1.1867816091954,285.357770325465,1.08090064517222,22,204.742725769793,1,1,1
201115,"AP1",282,808,23.1428571428571,1.02179176755448,322.17700672488,1.08113089504993,22,204.742725769793,1,1,1
201116,"AP1",162,639,22.4285714285714,0.87914691943128,283.854840802989,1.00657744965599,22,204.742725769793,1,1,1
201117,"AP1",152,621,20.7142857142857,0.803234501347709,154.387821660672,0.953011244818963,22,204.742725769793,0,0,0
201118,"AP1",169,526,20.7142857142857,0.810402684563758,147.326739299352,0.969254863811529,22,204.742725769793,0,0,0
201119,"AP1",110,671,20.1428571428571,0.892339544513458,169.879582731461,1.00520463154711,22,204.742725769793,1,0,0
201120,"AP1",89,450,17.7142857142857,0.853828306264501,99.5443316608898,0.904948469644453,22,204.742725769793,0,0,0
201121,"AP1",58,289,17,0.698369565217391,75.5392410920739,0.848755517888471,22,204.742725769793,0,0,0
201122,"AP1",32,244,18,0.696498054474708,50.2601272711145,0.866553918467492,22,204.742725769793,0,0,0
201123,"AP1",19,159,15.7142857142857,0.608938547486033,27.103697382278,0.846990543196187,22,204.742725769793,0,0,0
201124,"AP1",7,152,16,0.532110091743119,16.1760323911759,0.851370125851361,22,204.742725769793,0,0,0
201125,"AP1",10,130,17.5714285714286,0.620689655172414,6.27209957215051,0.896014224592931,22,204.742725769793,0,0,0
201126,"AP1",9,174,17,0.722222222222222,9.06633194264878,0.906633194264878,22,204.742725769793,0,0,0
201127,"AP1",5,109,15.5714285714286,0.923076923076923,7.66030904630669,0.851145449589633,22,204.742725769793,0,0,0
201128,"AP1",12,89,15.5714285714286,1.08333333333333,4.21710855132658,0.843421710265316,22,204.742725769793,0,0,0
201129,"AP1",11,95,18.8571428571429,1.07692307692308,11.178764403364,0.931563700280331,22,204.742725769793,0,0,0
201130,"AP1",5,76,16.5714285714286,1,9.63147465756396,0.875588605233087,22,204.742725769793,0,0,0
201131,"AP1",1,56,17.8571428571429,0.607142857142857,4.3771393172626,0.87542786345252,22,204.742725769793,0,0,0
201132,"AP1",6,57,18.4285714285714,0.705882352941177,0.903270822985463,0.903270822985463,22,204.742725769793,0,0,0
201133,"AP1",3,75,19.1428571428571,0.833333333333333,6.05472887213002,1.00912147868834,22,204.742725769793,1,0,0
201134,"AP1",3,43,18.4285714285714,1.2,2.73742764696804,0.91247588232268,22,204.742725769793,0,0,0
201135,"AP1",2,91,17.8571428571429,0.666666666666667,2.84567095870947,0.948556986236489,22,204.742725769793,0,0,0
201136,"AP1",2,58,17,0.875,1.82264390556772,0.911321952783861,22,204.742725769793,0,0,0
201137,"AP1",0,59,18.7142857142857,0.571428571428571,1.78007426339145,0.890037131695727,22,204.742725769793,0,0,0
201138,"AP1",9,42,18,2.75,0,0.896597621401695,22,204.742725769793,0,0,0
201139,"AP1",6,54,18.2857142857143,1.36363636363636,8.30248782976974,0.922498647752193,22,204.742725769793,0,0,0
201140,"AP1",5,68,20.2857142857143,1.33333333333333,6.576516112265,1.09608601871083,22,204.742725769793,1,0,0
201141,"AP1",9,61,21.8571428571429,1,5.34191617849838,1.06838323569968,22,204.742725769793,1,0,0
201142,"AP1",8,88,18,1.1,8.62498900742446,0.958332111936052,22,204.742725769793,0,0,0
201143,"AP1",10,101,20.7142857142857,1.22727272727273,8.93076098004673,1.11634512250584,22,204.742725769793,1,0,0
201144,"AP1",10,81,17.7142857142857,1.03703703703704,9.09991043243612,0.909991043243612,22,204.742725769793,0,0,0
201145,"AP1",10,82,20.1428571428571,1.07142857142857,9.50629200881745,0.950629200881745,22,204.742725769793,0,0,0
201146,"AP1",11,85,20.7142857142857,1.03333333333333,10.1616684163521,1.01616684163521,22,204.742725769793,1,0,0
201147,"AP1",16,71,20.7142857142857,1.19354838709677,10.769391163756,0.979035560341452,22,204.742725769793,0,0,0
201148,"AP1",16,97,21.2857142857143,1.16216216216216,16.9258464590536,1.05786540369085,22,204.742725769793,1,0,0
201149,"AP1",23,78,22.4285714285714,1.27906976744186,17.2691189174952,1.07931993234345,22,204.742725769793,1,1,0
201150,"AP1",25,98,22.4285714285714,1.16363636363636,24.3807425953377,1.06003228675382,22,204.742725769793,1,1,0
201151,"AP1",19,107,23,1.046875,29.2307732633579,1.16923093053432,22,204.742725769793,1,1,0
201152,"AP1",26,61,22.1428571428571,1.04477611940298,18.1534097127802,0.955442616462113,22,204.742725769793,0,1,0
201201,"AP1",36,140,21.8571428571429,1.15714285714286,29.5659452548775,1.13715174057221,22,204.742725769793,1,0,0
201202,"AP1",36,102,22.8571428571429,1.20987654320988,42.6791068798222,1.18553074666173,22,204.742725769793,1,1,0
201203,"AP1",45,125,23.5714285714286,1.19387755102041,37.88769181635,1.0524358837875,22,204.742725769793,1,1,0
201204,"AP1",52,77,22.7142857142857,1.13675213675214,45.1824512008475,1.00405447112995,22,204.742725769793,1,1,0
201205,"AP1",72,86,21.4285714285714,1.27067669172932,48.7694952933266,0.93787490948705,22,204.742725769793,0,0,0
201206,"AP1",73,87,23.8571428571429,1.16568047337278,81.9869912877468,1.13870821232982,22,204.742725769793,1,1,0
201207,"AP1",56,120,23,1.02030456852792,86.6948295551888,1.1876004048656,22,204.742725769793,1,1,0
201208,"AP1",113,102,23.5714285714286,1.20398009950249,63.6068601688403,1.13583678872929,22,204.742725769793,1,1,0
201209,"AP1",144,222,24.1428571428571,1.29338842975207,159.569707071655,1.41212130151907,22,204.742725769793,1,1,0
201210,"AP1",150,242,22.7142857142857,1.30031948881789,188.10940080082,1.30631528333903,22,204.742725769793,1,1,0
201211,"AP1",147,206,23.2857142857143,1.08353808353808,159.260745597529,1.06173830398353,22,204.742725769793,1,1,0
201212,"AP1",149,252,22.8571428571429,1.01133786848073,159.107380202499,1.08236313062924,22,204.742725769793,1,1,0
201213,"AP1",161,267,22.7142857142857,1.02466367713004,169.813892980526,1.13969055691628,22,204.742725769793,1,1,0
201214,"AP1",183,262,22.8571428571429,1.07877461706783,173.981257151345,1.08062892640587,22,204.742725769793,1,1,0
201215,"AP1",252,300,22.8571428571429,1.20892494929006,202.235908084693,1.10511425182892,22,204.742725769793,1,1,0
201216,"AP1",244,442,21.4285714285714,1.13926174496644,296.255001152086,1.17561508393685,22,204.742725769793,1,0,1
201217,"AP1",283,556,21.4285714285714,1.14727540500736,289.644413307821,1.187067267655,22,204.742725769793,1,0,1
201218,"AP1",253,429,19.4285714285714,1.0012836970475,272.757673856928,0.963808034830133,22,204.742725769793,0,0,1
201219,"AP1",250,561,19.5714285714286,1.00769230769231,246.37855532564,0.973828281919527,22,204.742725769793,0,0,1
201220,"AP1",264,437,17.8571428571429,0.975826972010178,230.728874384759,0.922915497539036,22,204.742725769793,0,0,1
201221,"AP1",243,323,17.8571428571429,0.986962190352021,230.560483011998,0.873335162924237,22,204.742725769793,0,0,1
201222,"AP1",138,377,20.8571428571429,0.852047556142668,237.429546035175,0.977076321132409,22,204.742725769793,0,0,1
201223,"AP1",116,271,20.8571428571429,0.770542635658915,135.107486126159,0.979039754537382,22,204.742725769793,0,0,0
201224,"AP1",93,215,19.1428571428571,0.698189134808853,102.729018597807,0.885594987912126,22,204.742725769793,0,0,0
201225,"AP1",54,162,20.5714285714286,0.757925072046109,84.8239551691944,0.912085539453703,22,204.742725769793,0,0,0
201226,"AP1",37,169,17.7142857142857,0.699619771863118,48.2648371363662,0.893793280303078,22,204.742725769793,0,0,0
201227,"AP1",58,148,17.7142857142857,0.809782608695652,33.6325790239275,0.90898862226831,22,204.742725769793,0,0,0
201228,"AP1",37,147,17.1428571428571,0.885906040268456,51.6067894806801,0.889772232425519,22,204.742725769793,0,0,0
