"APS","SE","tweets","estacao","casos","temp.min","temp.max","umid.min","umid.max","Pop2010","Cli","Rtw","ptw1","Rtwlr","Rtwur","twgreat1","ac.twgreat1","Rt","pRt1","Rtlr","Rtur","pRti","Rti","Rtgreat1","ac.Rtgreat1","casos_est","inc","alertaCasos"
"AP1",200952,NA,NA,0,NA,NA,NA,NA,226963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"AP1",201001,NA,"galeao",1,25.1428571428571,33.4285714285714,51.7142857142857,89.7142857142857,226963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.44060045029366,0
"AP1",201002,NA,"galeao",0,24.7142857142857,34.5714285714286,46.5714285714286,90.7142857142857,226963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"AP1",201003,NA,"galeao",0,23.8571428571429,34.5714285714286,45.8571428571429,88.2857142857143,226963,3,NA,NA,NA,NA,NA,NA,1,0.5,0.13393758817773,3.48877165297535,0.5,NA,0,NA,0,0,0
"AP1",201004,NA,"galeao",2,24,33.4285714285714,47.8571428571429,88.7142857142857,226963,3,NA,NA,NA,NA,NA,NA,2,0.75,0.225567646606983,4.43325988918237,0.75,NA,0,NA,2,0.88120090058732,0
"AP1",201005,NA,"galeao",1,25.1428571428571,36.4285714285714,38.1428571428571,85.2857142857143,226963,3,NA,NA,NA,NA,NA,NA,1.5,0.6875,0.26904923289492,3.71679186459737,0.6875,NA,0,NA,1,0.44060045029366,0
"AP1",201006,NA,"galeao",5,25,36.8571428571429,33.7142857142857,84.7142857142857,226963,3,NA,NA,NA,NA,NA,NA,2.66666666666667,0.9453125,0.622859554349357,5.12128753925464,0.9453125,NA,1,1,5,2.2030022514683,0
"AP1",201007,NA,"galeao",3,24.5714285714286,34.2857142857143,44.4285714285714,87.2857142857143,226963,3,NA,NA,NA,NA,NA,NA,1.125,0.598190307617187,0.424109568751388,2.35788124975364,0.598190307617187,NA,0,1,3,1.32180135088098,0
"AP1",201008,NA,"galeao",6,23.8571428571429,33,51,89,226963,3,NA,NA,NA,NA,NA,NA,1.55555555555556,0.856860637664795,0.633944024418028,2.92466516315088,0.856860637664795,NA,1,2,6,2.64360270176196,0
"AP1",201009,NA,"galeao",3,21.7142857142857,26.5714285714286,72.5714285714286,93.2857142857143,226963,2,NA,NA,NA,NA,NA,NA,0.857142857142857,0.345018982887268,0.395513856755714,1.67184326959943,0.345018982887268,NA,0,2,3,1.32180135088098,0
"AP1",201010,NA,"galeao",3,23.7142857142857,34,46.1428571428571,90.4285714285714,226963,2,NA,NA,NA,NA,NA,NA,1,0.5,0.441900691295422,1.95247336211111,0.5,NA,0,1,3,1.32180135088098,0
"AP1",201011,NA,"galeao",2,22.5714285714286,31.1428571428571,56.4285714285714,94.8571428571429,226963,2,NA,NA,NA,NA,NA,NA,0.666666666666667,0.179641723632813,0.283856755563522,1.46344018273669,0.179641723632813,NA,0,1,2,0.88120090058732,0
"AP1",201012,NA,"galeao",5,23.5714285714286,33.1428571428571,50.1428571428571,91.8571428571429,226963,3,NA,NA,NA,NA,NA,NA,1.25,0.685470581054688,0.475154172737794,2.54345400262156,0.685470581054688,NA,0,0,5,2.2030022514683,0
"AP1",201013,NA,"galeao",4,23.2857142857143,31.1428571428571,58.2857142857143,94.8571428571429,226963,3,NA,NA,NA,NA,NA,NA,1.1,0.588098526000976,0.455724950566802,2.19430601452973,0.588098526000976,NA,0,0,4,1.76240180117464,0
"AP1",201014,NA,"galeao",4,20,26,67.2857142857143,94.8571428571429,226963,2,NA,NA,NA,NA,NA,NA,1.18181818181818,0.661180257797241,0.512170879974901,2.26295187968256,0.661180257797241,NA,0,0,4,1.76240180117464,0
"AP1",201015,NA,"galeao",2,19.7142857142857,29,51,93.1428571428571,226963,1,NA,NA,NA,NA,NA,NA,0.769230769230769,0.261733531951904,0.341919482817873,1.57742633652556,0.261733531951904,NA,0,0,2,0.88120090058732,0
"AP1",201016,NA,"galeao",1,22.4285714285714,32.1428571428571,46.8571428571429,92.5714285714286,226963,1,NA,NA,NA,NA,NA,NA,0.7,0.227249145507812,0.279094371526555,1.60176551909516,0.227249145507812,NA,0,0,1,0.44060045029366,0
"AP1",201017,NA,"galeao",10,21.2857142857143,28.4285714285714,56.8571428571429,93.2857142857143,226963,1,NA,NA,NA,NA,NA,NA,1.85714285714286,0.916465759277344,0.683321403769277,3.52290364911262,0.916465759277344,NA,1,1,10,4.4060045029366,0
"AP1",201018,NA,"galeao",7,20.7142857142857,31.1428571428571,45.2857142857143,92.2857142857143,226963,1,NA,NA,NA,NA,NA,NA,1.38461538461538,0.819202695973217,0.6488887392318,2.4689526886536,0.819202695973217,NA,1,2,7,3.08420315205562,0
"AP1",201019,NA,"galeao",8,18.5714285714286,25.5714285714286,56.7142857142857,94,226963,0,NA,NA,NA,NA,NA,NA,1.38888888888889,0.86002188073553,0.729459739337528,2.31431442749686,0.86002188073553,NA,1,3,8,3.52480360234928,0
"AP1",201020,NA,"galeao",4,19.1428571428571,26.1428571428571,58.7142857142857,93.1428571428571,226963,0,NA,NA,NA,NA,NA,NA,0.76,0.180188826467884,0.41803993230423,1.31410927214155,0.180188826467884,NA,0,3,4,1.76240180117464,0
"AP1",201021,NA,"galeao",3,19,26.1428571428571,59.1428571428571,94,226963,0,NA,NA,NA,NA,NA,NA,0.789473684210526,0.243425120832398,0.401034101309898,1.44969277767482,0.243425120832398,NA,0,2,3,1.32180135088098,0
"AP1",201022,NA,"galeao",2,17.5714285714286,25,57,91.4285714285714,226963,0,NA,NA,NA,NA,NA,NA,0.6,0.105019807815552,0.273954856582942,1.26937317658256,0.105019807815552,NA,0,1,2,0.88120090058732,0
"AP1",201023,NA,"galeao",0,16,23.7142857142857,47.4285714285714,92.2857142857143,226963,0,NA,NA,NA,NA,NA,NA,0.555555555555556,0.1334228515625,0.209169160880283,1.439469217507,0.1334228515625,NA,0,0,0,0,0
"AP1",201024,NA,"galeao",6,14.8571428571429,26.4285714285714,45.1428571428571,93.1428571428571,226963,0,NA,NA,NA,NA,NA,NA,1.6,0.80615234375,0.490862104997498,3.35099120101519,0.80615234375,NA,1,1,6,2.64360270176196,0
"AP1",201025,NA,"galeao",4,16.8571428571429,26.1428571428571,55.5714285714286,94,226963,0,NA,NA,NA,NA,NA,NA,1.25,0.685470581054688,0.475154172737794,2.54345400262156,0.685470581054688,NA,0,1,4,1.76240180117464,0
"AP1",201026,NA,"galeao",1,17.1428571428571,26.4285714285714,51.8571428571429,94.8571428571429,226963,0,NA,NA,NA,NA,NA,NA,1.1,0.588098526000976,0.455724950566802,2.19430601452973,0.588098526000976,NA,0,1,1,0.44060045029366,0
"AP1",201027,NA,"galeao",3,16.5714285714286,27.2857142857143,47.5714285714286,93.1428571428571,226963,0,NA,NA,NA,NA,NA,NA,0.727272727272727,0.240341186523438,0.30193788167781,1.59457917372523,0.240341186523438,NA,0,1,3,1.32180135088098,0
"AP1",201028,NA,"galeao",2,19.4285714285714,26.4285714285714,60.5714285714286,91.7142857142857,226963,0,NA,NA,NA,NA,NA,NA,0.75,0.29052734375,0.274374819646258,1.79758463117108,0.29052734375,NA,0,0,2,0.88120090058732,0
"AP1",201029,NA,"galeao",4,18.2857142857143,27,51.2857142857143,90.5714285714286,226963,0,NA,NA,NA,NA,NA,NA,1.5,0.78802490234375,0.503754523192324,3.09040298684282,0.78802490234375,NA,0,0,4,1.76240180117464,0
"AP1",201030,NA,"galeao",4,18,28.2857142857143,43.1428571428571,91.4285714285714,226963,0,NA,NA,NA,NA,NA,NA,1.11111111111111,0.592735290527344,0.440668934493613,2.26927727762143,0.592735290527344,NA,0,0,4,1.76240180117464,0
"AP1",201031,NA,"galeao",5,18.2857142857143,25.5714285714286,56.7142857142857,90.5714285714286,226963,0,NA,NA,NA,NA,NA,NA,1.3,0.738266468048096,0.546226522305846,2.48830052447071,0.738266468048096,NA,0,0,5,2.2030022514683,0
"AP1",201032,NA,"galeao",4,17,25.4285714285714,48.7142857142857,86.8571428571429,226963,0,NA,NA,NA,NA,NA,NA,1,0.5,0.455541120609972,1.91328401966509,0.5,NA,0,0,4,1.76240180117464,0
"AP1",201033,NA,"galeao",3,14.1428571428571,23.2857142857143,44.8571428571429,89.7142857142857,226963,0,NA,NA,NA,NA,NA,NA,0.923076923076923,0.419409871101379,0.417405478663293,1.80160142268614,0.419409871101379,NA,0,0,3,1.32180135088098,0
"AP1",201034,NA,"galeao",1,16.8571428571429,31,34,90.5714285714286,226963,0,NA,NA,NA,NA,NA,NA,0.666666666666667,0.179641723632813,0.283856755563522,1.46344018273669,0.179641723632813,NA,0,0,1,0.44060045029366,0
"AP1",201035,NA,"galeao",2,19.1428571428571,30,39.7142857142857,89.7142857142857,226963,0,NA,NA,NA,NA,NA,NA,0.75,0.29052734375,0.274374819646258,1.79758463117108,0.29052734375,NA,0,0,2,0.88120090058732,0
