"SE","APS","casos","tweets","temp","Rt","casos_est","temp_crit","casos_crit","alertaRt1","alertaTemp","alertaCasos"
201010,"AP4",9,NA,23.7142857142857,1.1875,NA,22,NA,0,1,NA
201010,"AP5.1",2,NA,23.7142857142857,1.15384615384615,NA,22,NA,0,1,NA
201010,"AP5.2",6,NA,23.7142857142857,0.944444444444444,NA,22,NA,0,1,NA
201010,"AP5.3",2,NA,23.7142857142857,1,NA,22,NA,0,1,NA
201011,"AP1",2,NA,22.5714285714286,0.666666666666667,NA,22,NA,0,1,NA
201011,"AP2.1",11,NA,22.5714285714286,0.970588235294118,NA,22,NA,0,1,NA
201011,"AP2.2",2,NA,22.5714285714286,0.777777777777778,NA,22,NA,0,1,NA
201011,"AP3.1",1,NA,22.5714285714286,1,NA,22,NA,0,1,NA
201011,"AP3.2",4,NA,22.5714285714286,0.944444444444444,NA,22,NA,0,1,NA
201011,"AP3.3",5,NA,22.5714285714286,1.05555555555556,NA,22,NA,0,1,NA
201011,"AP4",8,NA,22.5714285714286,1.26315789473684,NA,22,NA,0,1,NA
201011,"AP5.1",1,NA,22.5714285714286,0.533333333333333,NA,22,NA,0,1,NA
201011,"AP5.2",11,NA,22.5714285714286,1.35294117647059,NA,22,NA,1,1,NA
201011,"AP5.3",2,NA,22.5714285714286,1,NA,22,NA,0,1,NA
201012,"AP1",5,NA,23.5714285714286,1.25,NA,22,NA,0,1,NA
201012,"AP2.1",17,NA,23.5714285714286,1.06060606060606,NA,22,NA,0,1,NA
201012,"AP2.2",3,NA,23.5714285714286,1.28571428571429,NA,22,NA,0,1,NA
201012,"AP3.1",4,NA,23.5714285714286,1.6,NA,22,NA,1,1,NA
201012,"AP3.2",4,NA,23.5714285714286,0.588235294117647,NA,22,NA,0,1,NA
201012,"AP3.3",7,NA,23.5714285714286,1,NA,22,NA,0,1,NA
201012,"AP4",16,NA,23.5714285714286,1.375,NA,22,NA,1,1,NA
201012,"AP5.1",7,NA,23.5714285714286,1.25,NA,22,NA,0,1,NA
201012,"AP5.2",6,NA,23.5714285714286,1,NA,22,NA,0,1,NA
201012,"AP5.3",1,NA,23.5714285714286,1,NA,22,NA,0,1,NA
201013,"AP1",4,NA,23.2857142857143,1.1,NA,22,NA,0,1,NA
201013,"AP2.1",11,NA,23.2857142857143,1.11428571428571,NA,22,NA,0,1,NA
201013,"AP2.2",1,NA,23.2857142857143,0.666666666666667,NA,22,NA,0,1,NA
201013,"AP3.1",3,NA,23.2857142857143,1,NA,22,NA,0,1,NA
201013,"AP3.2",3,NA,23.2857142857143,1.1,NA,22,NA,0,1,NA
201013,"AP3.3",2,NA,23.2857142857143,0.736842105263158,NA,22,NA,0,1,NA
201013,"AP4",12,NA,23.2857142857143,1.09090909090909,NA,22,NA,0,1,NA
201013,"AP5.1",4,NA,23.2857142857143,1.2,NA,22,NA,0,1,NA
201013,"AP5.2",4,NA,23.2857142857143,0.91304347826087,NA,22,NA,0,1,NA
201013,"AP5.3",1,NA,23.2857142857143,0.8,NA,22,NA,0,1,NA
201014,"AP1",4,NA,20,1.18181818181818,NA,22,NA,0,0,NA
201014,"AP2.1",8,NA,20,0.923076923076923,NA,22,NA,0,0,NA
201014,"AP2.2",2,NA,20,1,NA,22,NA,0,0,NA
201014,"AP3.1",3,NA,20,1.25,NA,22,NA,0,0,NA
201014,"AP3.2",6,NA,20,1.18181818181818,NA,22,NA,0,0,NA
201014,"AP3.3",2,NA,20,0.785714285714286,NA,22,NA,0,0,NA
201014,"AP4",6,NA,20,0.944444444444444,NA,22,NA,0,0,NA
201014,"AP5.1",4,NA,20,1.25,NA,22,NA,0,0,NA
201014,"AP5.2",5,NA,20,0.714285714285714,NA,22,NA,0,0,NA
201014,"AP5.3",1,NA,20,0.75,NA,22,NA,0,0,NA
201015,"AP1",2,NA,19.7142857142857,0.769230769230769,NA,22,NA,0,0,NA
201015,"AP2.1",11,NA,19.7142857142857,0.833333333333333,NA,22,NA,0,0,NA
201015,"AP2.2",3,NA,19.7142857142857,1,NA,22,NA,0,0,NA
201015,"AP3.1",2,NA,19.7142857142857,0.8,NA,22,NA,0,0,NA
201015,"AP3.2",5,NA,19.7142857142857,1.07692307692308,NA,22,NA,0,0,NA
201015,"AP3.3",3,NA,19.7142857142857,0.636363636363636,NA,22,NA,0,0,NA
201015,"AP4",14,NA,19.7142857142857,0.941176470588235,NA,22,NA,0,0,NA
201015,"AP5.1",3,NA,19.7142857142857,0.733333333333333,NA,22,NA,0,0,NA
201015,"AP5.2",6,NA,19.7142857142857,1,NA,22,NA,0,0,NA
201015,"AP5.3",1,NA,19.7142857142857,1,NA,22,NA,0,0,NA
201016,"AP1",1,NA,22.4285714285714,0.7,NA,22,NA,0,1,NA
201016,"AP2.1",15,NA,22.4285714285714,1.13333333333333,NA,22,NA,0,1,NA
201016,"AP2.2",2,NA,22.4285714285714,1.16666666666667,NA,22,NA,0,1,NA
201016,"AP3.1",5,NA,22.4285714285714,1.25,NA,22,NA,0,1,NA
201016,"AP3.2",4,NA,22.4285714285714,1.07142857142857,NA,22,NA,0,1,NA
201016,"AP3.3",2,NA,22.4285714285714,1,NA,22,NA,0,1,NA
201016,"AP4",9,NA,22.4285714285714,0.90625,NA,22,NA,0,1,NA
201016,"AP5.1",2,NA,22.4285714285714,0.818181818181818,NA,22,NA,0,1,NA
201016,"AP5.2",14,NA,22.4285714285714,1.66666666666667,NA,22,NA,1,1,NA
201016,"AP5.3",3,NA,22.4285714285714,1.66666666666667,NA,22,NA,0,1,NA
201017,"AP1",10,NA,21.2857142857143,1.85714285714286,NA,22,NA,1,0,NA
201017,"AP2.1",12,NA,21.2857142857143,1.11764705882353,NA,22,NA,0,0,NA
201017,"AP2.2",9,NA,21.2857142857143,2,NA,22,NA,1,0,NA
201017,"AP3.1",4,NA,21.2857142857143,1.1,NA,22,NA,0,0,NA
201017,"AP3.2",8,NA,21.2857142857143,1.13333333333333,NA,22,NA,0,0,NA
201017,"AP3.3",7,NA,21.2857142857143,1.71428571428571,NA,22,NA,1,0,NA
201017,"AP4",22,NA,21.2857142857143,1.55172413793103,NA,22,NA,1,0,NA
201017,"AP5.1",0,NA,21.2857142857143,0.555555555555556,NA,22,NA,0,0,NA
201017,"AP5.2",11,NA,21.2857142857143,1.24,NA,22,NA,0,0,NA
201017,"AP5.3",0,NA,21.2857142857143,0.8,NA,22,NA,0,0,NA
201018,"AP1",7,NA,20.7142857142857,1.38461538461538,NA,22,NA,1,0,NA
201018,"AP2.1",13,NA,20.7142857142857,1.05263157894737,NA,22,NA,0,0,NA
201018,"AP2.2",14,NA,20.7142857142857,1.78571428571429,NA,22,NA,1,0,NA
201018,"AP3.1",4,NA,20.7142857142857,1.18181818181818,NA,22,NA,0,0,NA
201018,"AP3.2",11,NA,20.7142857142857,1.35294117647059,NA,22,NA,1,0,NA
201018,"AP3.3",8,NA,20.7142857142857,1.41666666666667,NA,22,NA,1,0,NA
201018,"AP4",10,NA,20.7142857142857,0.911111111111111,NA,22,NA,0,0,NA
201018,"AP5.1",8,NA,20.7142857142857,2,NA,22,NA,1,0,NA
201018,"AP5.2",15,NA,20.7142857142857,1.29032258064516,NA,22,NA,1,0,NA
201018,"AP5.3",4,NA,20.7142857142857,1.75,NA,22,NA,1,0,NA
201019,"AP1",8,NA,18.5714285714286,1.38888888888889,NA,22,NA,1,0,NA
201019,"AP2.1",13,NA,18.5714285714286,0.95,NA,22,NA,0,0,NA
201019,"AP2.2",5,NA,18.5714285714286,1.12,NA,22,NA,0,0,NA
201019,"AP3.1",3,NA,18.5714285714286,0.846153846153846,NA,22,NA,0,0,NA
201019,"AP3.2",5,NA,18.5714285714286,1.04347826086957,NA,22,NA,0,0,NA
201019,"AP3.3",10,NA,18.5714285714286,1.47058823529412,NA,22,NA,1,0,NA
201019,"AP4",7,NA,18.5714285714286,0.951219512195122,NA,22,NA,0,0,NA
201019,"AP5.1",5,NA,18.5714285714286,1.3,NA,22,NA,0,0,NA
201019,"AP5.2",2,NA,18.5714285714286,0.7,NA,22,NA,0,0,NA
201019,"AP5.3",3,NA,18.5714285714286,1,NA,22,NA,0,0,NA
201020,"AP1",4,NA,19.1428571428571,0.76,NA,22,NA,0,0,NA
201020,"AP2.1",25,NA,19.1428571428571,1.34210526315789,NA,22,NA,1,0,NA
201020,"AP2.2",8,NA,19.1428571428571,0.964285714285714,NA,22,NA,0,0,NA
201020,"AP3.1",1,NA,19.1428571428571,0.727272727272727,NA,22,NA,0,0,NA
201020,"AP3.2",4,NA,19.1428571428571,0.833333333333333,NA,22,NA,0,0,NA
201020,"AP3.3",8,NA,19.1428571428571,1.04,NA,22,NA,0,0,NA
201020,"AP4",10,NA,19.1428571428571,0.692307692307692,NA,22,NA,0,0,NA
201020,"AP5.1",4,NA,19.1428571428571,1.30769230769231,NA,22,NA,0,0,NA
201020,"AP5.2",7,NA,19.1428571428571,0.857142857142857,NA,22,NA,0,0,NA
201020,"AP5.3",0,NA,19.1428571428571,1,NA,22,NA,0,0,NA
201021,"AP1",3,NA,19,0.789473684210526,NA,22,NA,0,0,NA
201021,"AP2.1",9,NA,19,0.92156862745098,NA,22,NA,0,0,NA
201021,"AP2.2",8,NA,19,0.777777777777778,NA,22,NA,0,0,NA
201021,"AP3.1",5,NA,19,1.125,NA,22,NA,0,0,NA
201021,"AP3.2",8,NA,19,0.85,NA,22,NA,0,0,NA
201021,"AP3.3",8,NA,19,1,NA,22,NA,0,0,NA
201021,"AP4",11,NA,19,1.03703703703704,NA,22,NA,0,0,NA
201021,"AP5.1",2,NA,19,0.647058823529412,NA,22,NA,0,0,NA
201021,"AP5.2",6,NA,19,0.625,NA,22,NA,0,0,NA
201021,"AP5.3",2,NA,19,0.714285714285714,NA,22,NA,0,0,NA
201022,"AP1",2,NA,17.5714285714286,0.6,NA,22,NA,0,0,NA
201022,"AP2.1",11,NA,17.5714285714286,0.957446808510638,NA,22,NA,0,0,NA
201022,"AP2.2",7,NA,17.5714285714286,1.0952380952381,NA,22,NA,0,0,NA
201022,"AP3.1",2,NA,17.5714285714286,0.888888888888889,NA,22,NA,0,0,NA
201022,"AP3.2",2,NA,17.5714285714286,0.823529411764706,NA,22,NA,0,0,NA
201022,"AP3.3",4,NA,17.5714285714286,0.769230769230769,NA,22,NA,0,0,NA
201022,"AP4",12,NA,17.5714285714286,1.17857142857143,NA,22,NA,0,0,NA
201022,"AP5.1",5,NA,17.5714285714286,1,NA,22,NA,0,0,NA
201022,"AP5.2",8,NA,17.5714285714286,1.4,NA,22,NA,1,0,NA
201022,"AP5.3",4,NA,17.5714285714286,1.2,NA,22,NA,0,0,NA
201023,"AP1",0,NA,16,0.555555555555556,NA,22,NA,0,0,NA
201023,"AP2.1",4,NA,16,0.533333333333333,NA,22,NA,0,0,NA
201023,"AP2.2",3,NA,16,0.782608695652174,NA,22,NA,0,0,NA
201023,"AP3.1",2,NA,16,1.125,NA,22,NA,0,0,NA
201023,"AP3.2",4,NA,16,1,NA,22,NA,0,0,NA
201023,"AP3.3",3,NA,16,0.75,NA,22,NA,0,0,NA
201023,"AP4",5,NA,16,0.848484848484849,NA,22,NA,0,0,NA
201023,"AP5.1",2,NA,16,0.818181818181818,NA,22,NA,0,0,NA
201023,"AP5.2",6,NA,16,0.952380952380952,NA,22,NA,0,0,NA
201023,"AP5.3",3,NA,16,1.5,NA,22,NA,0,0,NA
201024,"AP1",6,NA,14.8571428571429,1.6,NA,22,NA,1,0,NA
201024,"AP2.1",10,NA,14.8571428571429,1.04166666666667,NA,22,NA,0,0,NA
201024,"AP2.2",6,NA,14.8571428571429,0.888888888888889,NA,22,NA,0,0,NA
201024,"AP3.1",2,NA,14.8571428571429,0.666666666666667,NA,22,NA,0,0,NA
201024,"AP3.2",9,NA,14.8571428571429,1.07142857142857,NA,22,NA,0,0,NA
201024,"AP3.3",9,NA,14.8571428571429,1.06666666666667,NA,22,NA,0,0,NA
201024,"AP4",6,NA,14.8571428571429,0.821428571428571,NA,22,NA,0,0,NA
201024,"AP5.1",5,NA,14.8571428571429,1.33333333333333,NA,22,NA,0,0,NA
201024,"AP5.2",9,NA,14.8571428571429,1.15,NA,22,NA,0,0,NA
201024,"AP5.3",0,NA,14.8571428571429,0.777777777777778,NA,22,NA,0,0,NA
201025,"AP1",4,NA,16.8571428571429,1.25,NA,22,NA,0,0,NA
201025,"AP2.1",3,NA,16.8571428571429,0.68,NA,22,NA,0,0,NA
201025,"AP2.2",1,NA,16.8571428571429,0.625,NA,22,NA,0,0,NA
201025,"AP3.1",1,NA,16.8571428571429,0.833333333333333,NA,22,NA,0,0,NA
201025,"AP3.2",7,NA,16.8571428571429,1.33333333333333,NA,22,NA,1,0,NA
201025,"AP3.3",5,NA,16.8571428571429,1.0625,NA,22,NA,0,0,NA
201025,"AP4",11,NA,16.8571428571429,0.956521739130435,NA,22,NA,0,0,NA
201025,"AP5.1",6,NA,16.8571428571429,1.08333333333333,NA,22,NA,0,0,NA
201025,"AP5.2",2,NA,16.8571428571429,0.739130434782609,NA,22,NA,0,0,NA
201025,"AP5.3",1,NA,16.8571428571429,0.571428571428571,NA,22,NA,0,0,NA
201026,"AP1",1,NA,17.1428571428571,1.1,NA,22,NA,0,0,NA
201026,"AP2.1",7,NA,17.1428571428571,1.17647058823529,NA,22,NA,0,0,NA
201026,"AP2.2",6,NA,17.1428571428571,1.3,NA,22,NA,0,0,NA
201026,"AP3.1",2,NA,17.1428571428571,1,NA,22,NA,0,0,NA
201026,"AP3.2",7,NA,17.1428571428571,1.15,NA,22,NA,0,0,NA
201026,"AP3.3",9,NA,17.1428571428571,1.35294117647059,NA,22,NA,1,0,NA
201026,"AP4",5,NA,17.1428571428571,1,NA,22,NA,0,0,NA
201026,"AP5.1",7,NA,17.1428571428571,1.38461538461538,NA,22,NA,1,0,NA
201026,"AP5.2",5,NA,17.1428571428571,0.941176470588235,NA,22,NA,0,0,NA
201026,"AP5.3",2,NA,17.1428571428571,0.75,NA,22,NA,0,0,NA
201027,"AP1",3,NA,16.5714285714286,0.727272727272727,NA,22,NA,0,0,NA
201027,"AP2.1",10,NA,16.5714285714286,1,NA,22,NA,0,0,NA
201027,"AP2.2",2,NA,16.5714285714286,0.692307692307692,NA,22,NA,0,0,NA
201027,"AP3.1",4,NA,16.5714285714286,1.4,NA,22,NA,0,0,NA
201027,"AP3.2",6,NA,16.5714285714286,0.869565217391304,NA,22,NA,0,0,NA
201027,"AP3.3",13,NA,16.5714285714286,1.17391304347826,NA,22,NA,0,0,NA
201027,"AP4",8,NA,16.5714285714286,1.09090909090909,NA,22,NA,0,0,NA
201027,"AP5.1",9,NA,16.5714285714286,1.22222222222222,NA,22,NA,0,0,NA
201027,"AP5.2",8,NA,16.5714285714286,0.9375,NA,22,NA,0,0,NA
201027,"AP5.3",1,NA,16.5714285714286,1.33333333333333,NA,22,NA,0,0,NA
201028,"AP1",2,NA,19.4285714285714,0.75,NA,22,NA,0,0,NA
201028,"AP2.1",9,NA,19.4285714285714,1.3,NA,22,NA,1,0,NA
201028,"AP2.2",1,NA,19.4285714285714,1,NA,22,NA,0,0,NA
201028,"AP3.1",5,NA,19.4285714285714,1.57142857142857,NA,22,NA,1,0,NA
201028,"AP3.2",3,NA,19.4285714285714,0.8,NA,22,NA,0,0,NA
201028,"AP3.3",9,NA,19.4285714285714,1.14814814814815,NA,22,NA,0,0,NA
201028,"AP4",7,NA,19.4285714285714,0.833333333333333,NA,22,NA,0,0,NA
201028,"AP5.1",9,NA,19.4285714285714,1.13636363636364,NA,22,NA,0,0,NA
201028,"AP5.2",5,NA,19.4285714285714,1.2,NA,22,NA,0,0,NA
201028,"AP5.3",4,NA,19.4285714285714,1.75,NA,22,NA,1,0,NA
201029,"AP1",4,NA,18.2857142857143,1.5,NA,22,NA,0,0,NA
201029,"AP2.1",13,NA,18.2857142857143,1.23076923076923,NA,22,NA,0,0,NA
201029,"AP2.2",2,NA,18.2857142857143,0.555555555555556,NA,22,NA,0,0,NA
201029,"AP3.1",3,NA,18.2857142857143,1.09090909090909,NA,22,NA,0,0,NA
201029,"AP3.2",4,NA,18.2857142857143,0.8125,NA,22,NA,0,0,NA
201029,"AP3.3",4,NA,18.2857142857143,0.838709677419355,NA,22,NA,0,0,NA
201029,"AP4",9,NA,18.2857142857143,1.2,NA,22,NA,0,0,NA
201029,"AP5.1",5,NA,18.2857142857143,0.92,NA,22,NA,0,0,NA
201029,"AP5.2",4,NA,18.2857142857143,0.944444444444444,NA,22,NA,0,0,NA
201029,"AP5.3",1,NA,18.2857142857143,0.857142857142857,NA,22,NA,0,0,NA
201030,"AP1",4,NA,18,1.11111111111111,NA,22,NA,0,0,NA
201030,"AP2.1",17,NA,18,1.21875,NA,22,NA,0,0,NA
201030,"AP2.2",1,NA,18,0.8,NA,22,NA,0,0,NA
201030,"AP3.1",7,NA,18,1.25,NA,22,NA,0,0,NA
201030,"AP3.2",11,NA,18,1.38461538461538,NA,22,NA,1,0,NA
201030,"AP3.3",12,NA,18,0.961538461538462,NA,22,NA,0,0,NA
201030,"AP4",6,NA,18,0.916666666666667,NA,22,NA,0,0,NA
201030,"AP5.1",12,NA,18,1.1304347826087,NA,22,NA,0,0,NA
201030,"AP5.2",16,NA,18,1.47058823529412,NA,22,NA,1,0,NA
