"SE","APS","casos","tweets","temp","Rt","casos_est","Rt_est","temp_crit","casos_crit","alertaRt1","alertaTemp","alertaCasos"
201105,"AP1",74,108,24.8571428571429,1.43,62.8773534643102,1.33781603115554,22,201.413965863569,1,1,0
201106,"AP1",87,203,24.7142857142857,1.45454545454545,113.941337502631,1.53974780408961,22,201.413965863569,1,1,0
201107,"AP1",123,218,24.2857142857143,1.36538461538462,113.939587379478,1.30965042964917,22,201.413965863569,1,1,0
201108,"AP1",137,248,24.4285714285714,1.22183098591549,144.502192568001,1.17481457372358,22,201.413965863569,1,1,0
201109,"AP1",126,251,23,1.11239193083573,152.14522500666,1.11054908763985,22,201.413965863569,1,1,0
201110,"AP1",120,196,22.7142857142857,0.992227979274611,127.756251891848,1.01393850707816,22,201.413965863569,1,1,0
201111,"AP1",168,324,23.1428571428571,1.08093994778068,139.552824778151,1.16294020648459,22,201.413965863569,1,1,0
201112,"AP1",264,695,22.7142857142857,1.33333333333333,260.072393961466,1.54804996405635,22,201.413965863569,1,1,1
201113,"AP1",264,800,23.4285714285714,1.26086956521739,352.159573342372,1.33393777781202,22,201.413965863569,1,1,1
201114,"AP1",298,789,22.1428571428571,1.1867816091954,285.260980959506,1.08053401878601,22,201.413965863569,1,1,1
201115,"AP1",282,808,23.1428571428571,1.02179176755448,322.067888282873,1.08076472578145,22,201.413965863569,1,1,1
201116,"AP1",162,639,22.4285714285714,0.87914691943128,285.452992362491,1.0122446537677,22,201.413965863569,1,1,1
201117,"AP1",152,621,20.7142857142857,0.803234501347709,154.904695347453,0.956201823132426,22,201.413965863569,0,0,0
201118,"AP1",169,526,20.7142857142857,0.810402684563758,147.880578264493,0.972898541213771,22,201.413965863569,0,0,0
201119,"AP1",110,671,20.1428571428571,0.892339544513458,171.080415491947,1.01231015083993,22,201.413965863569,1,0,0
201120,"AP1",89,450,17.7142857142857,0.853828306264501,99.9148381080394,0.908316710073085,22,201.413965863569,0,0,0
201121,"AP1",58,289,17,0.698369565217391,72.4814095424852,0.814397860027924,22,201.413965863569,0,0,0
201122,"AP1",32,244,18,0.696498054474708,49.1832788842421,0.847987566969691,22,201.413965863569,0,0,0
201123,"AP1",19,159,15.7142857142857,0.608938547486033,26.1685493841861,0.817767168255817,22,201.413965863569,0,0,0
201124,"AP1",7,152,16,0.532110091743119,15.7046865923044,0.826562452226547,22,201.413965863569,0,0,0
