Rio de Janeiro,RJ,2011-01-09,71
Rio de Janeiro,RJ,2011-01-16,60
Rio de Janeiro,RJ,2011-01-23,73
Rio de Janeiro,RJ,2011-01-30,108
Rio de Janeiro,RJ,2011-02-06,203
Rio de Janeiro,RJ,2011-02-13,218
Rio de Janeiro,RJ,2011-02-20,248
Rio de Janeiro,RJ,2011-02-27,251
Rio de Janeiro,RJ,2011-03-06,196
Rio de Janeiro,RJ,2011-03-13,324
Rio de Janeiro,RJ,2011-03-20,695
Rio de Janeiro,RJ,2011-03-27,800
Rio de Janeiro,RJ,2011-04-03,789
Rio de Janeiro,RJ,2011-04-10,808
Rio de Janeiro,RJ,2011-04-17,639
Rio de Janeiro,RJ,2011-04-24,621
Rio de Janeiro,RJ,2011-05-01,526
Rio de Janeiro,RJ,2011-05-08,671
Rio de Janeiro,RJ,2011-05-15,450
Rio de Janeiro,RJ,2011-05-22,289
Rio de Janeiro,RJ,2011-05-29,244
Rio de Janeiro,RJ,2011-06-05,159
Rio de Janeiro,RJ,2011-06-12,152
Rio de Janeiro,RJ,2011-06-19,130
Rio de Janeiro,RJ,2011-06-26,174
Rio de Janeiro,RJ,2011-07-03,109
Rio de Janeiro,RJ,2011-07-10,89
Rio de Janeiro,RJ,2011-07-17,95
Rio de Janeiro,RJ,2011-07-24,76
Rio de Janeiro,RJ,2011-07-31,56
Rio de Janeiro,RJ,2011-08-07,57
Rio de Janeiro,RJ,2011-08-14,75
Rio de Janeiro,RJ,2011-08-21,43
Rio de Janeiro,RJ,2011-08-28,91
Rio de Janeiro,RJ,2011-09-04,58
Rio de Janeiro,RJ,2011-09-11,59
Rio de Janeiro,RJ,2011-09-18,42
Rio de Janeiro,RJ,2011-09-25,54
Rio de Janeiro,RJ,2011-10-02,68
Rio de Janeiro,RJ,2011-10-09,61
Rio de Janeiro,RJ,2011-10-16,88
Rio de Janeiro,RJ,2011-10-23,101
Rio de Janeiro,RJ,2011-10-30,81
Rio de Janeiro,RJ,2011-11-06,82
Rio de Janeiro,RJ,2011-11-13,85
Rio de Janeiro,RJ,2011-11-20,71
Rio de Janeiro,RJ,2011-11-27,97
Rio de Janeiro,RJ,2011-12-04,78
Rio de Janeiro,RJ,2011-12-11,98
Rio de Janeiro,RJ,2011-12-18,107
Rio de Janeiro,RJ,2011-12-25,61
Rio de Janeiro,RJ,2012-01-01,140
Rio de Janeiro,RJ,2012-01-08,102
Rio de Janeiro,RJ,2012-01-15,125
Rio de Janeiro,RJ,2012-01-22,77
Rio de Janeiro,RJ,2012-01-29,86
Rio de Janeiro,RJ,2012-02-05,87
Rio de Janeiro,RJ,2012-02-12,120
Rio de Janeiro,RJ,2012-02-19,102
Rio de Janeiro,RJ,2012-02-26,222
Rio de Janeiro,RJ,2012-03-04,242
Rio de Janeiro,RJ,2012-03-11,206
Rio de Janeiro,RJ,2012-03-18,252
Rio de Janeiro,RJ,2012-03-25,267
Rio de Janeiro,RJ,2012-04-01,262
Rio de Janeiro,RJ,2012-04-08,300
Rio de Janeiro,RJ,2012-04-15,442
Rio de Janeiro,RJ,2012-04-22,556
Rio de Janeiro,RJ,2012-04-29,429
Rio de Janeiro,RJ,2012-05-06,561
Rio de Janeiro,RJ,2012-05-13,437
Rio de Janeiro,RJ,2012-05-20,323
Rio de Janeiro,RJ,2012-05-27,377
Rio de Janeiro,RJ,2012-06-03,271
Rio de Janeiro,RJ,2012-06-10,215
Rio de Janeiro,RJ,2012-06-17,162
Rio de Janeiro,RJ,2012-06-24,169
Rio de Janeiro,RJ,2012-07-01,148
Rio de Janeiro,RJ,2012-07-08,147
Rio de Janeiro,RJ,2012-07-15,94
Rio de Janeiro,RJ,2012-07-22,66
Rio de Janeiro,RJ,2012-07-29,90
Rio de Janeiro,RJ,2012-08-05,84
Rio de Janeiro,RJ,2012-08-12,63
Rio de Janeiro,RJ,2012-08-19,56
Rio de Janeiro,RJ,2012-08-26,63
Rio de Janeiro,RJ,2012-09-02,53
Rio de Janeiro,RJ,2012-09-09,84
Rio de Janeiro,RJ,2012-09-16,69
Rio de Janeiro,RJ,2012-09-23,49
Rio de Janeiro,RJ,2012-09-30,52
Rio de Janeiro,RJ,2012-10-07,48
Rio de Janeiro,RJ,2012-10-14,63
Rio de Janeiro,RJ,2012-10-21,87
Rio de Janeiro,RJ,2012-10-28,60
Rio de Janeiro,RJ,2012-11-04,53
Rio de Janeiro,RJ,2012-11-11,70
Rio de Janeiro,RJ,2012-11-18,64
Rio de Janeiro,RJ,2012-11-25,74
Rio de Janeiro,RJ,2012-12-02,86
Rio de Janeiro,RJ,2012-12-09,86
Rio de Janeiro,RJ,2012-12-16,71
Rio de Janeiro,RJ,2012-12-23,72
Rio de Janeiro,RJ,2012-12-30,96
Rio de Janeiro,RJ,2013-01-06,135
Rio de Janeiro,RJ,2013-01-13,212
Rio de Janeiro,RJ,2013-01-20,195
Rio de Janeiro,RJ,2013-01-27,185
Rio de Janeiro,RJ,2013-02-03,184
Rio de Janeiro,RJ,2013-02-10,224
Rio de Janeiro,RJ,2013-02-17,440
Rio de Janeiro,RJ,2013-02-24,473
Rio de Janeiro,RJ,2013-03-03,474
Rio de Janeiro,RJ,2013-03-10,659
Rio de Janeiro,RJ,2013-03-17,869
Rio de Janeiro,RJ,2013-03-24,852
Rio de Janeiro,RJ,2013-03-31,932
Rio de Janeiro,RJ,2013-04-07,1369
Rio de Janeiro,RJ,2013-04-14,783
Rio de Janeiro,RJ,2013-04-21,601
Rio de Janeiro,RJ,2013-04-28,443
Rio de Janeiro,RJ,2013-05-05,368
Rio de Janeiro,RJ,2013-05-12,304
Rio de Janeiro,RJ,2013-05-19,206
Rio de Janeiro,RJ,2013-05-26,193
Rio de Janeiro,RJ,2013-06-02,164
Rio de Janeiro,RJ,2013-06-09,146
Rio de Janeiro,RJ,2013-06-16,150
Rio de Janeiro,RJ,2013-06-23,123
Rio de Janeiro,RJ,2013-06-30,88
Rio de Janeiro,RJ,2013-07-07,90
Rio de Janeiro,RJ,2013-07-14,84
Rio de Janeiro,RJ,2013-07-21,57
Rio de Janeiro,RJ,2013-07-28,148
Rio de Janeiro,RJ,2013-08-04,155
Rio de Janeiro,RJ,2013-08-11,71
Rio de Janeiro,RJ,2013-08-18,97
Rio de Janeiro,RJ,2013-08-25,63
Rio de Janeiro,RJ,2013-09-01,55
Rio de Janeiro,RJ,2013-09-08,46
Rio de Janeiro,RJ,2013-09-15,115
Rio de Janeiro,RJ,2013-09-22,45
Rio de Janeiro,RJ,2013-09-29,56
Rio de Janeiro,RJ,2013-10-06,53
Rio de Janeiro,RJ,2013-10-13,57
Rio de Janeiro,RJ,2013-10-20,69
Rio de Janeiro,RJ,2013-10-27,66
Rio de Janeiro,RJ,2013-11-03,54
Rio de Janeiro,RJ,2013-11-10,63
Rio de Janeiro,RJ,2013-11-17,86
Rio de Janeiro,RJ,2013-11-24,74
Rio de Janeiro,RJ,2013-12-01,60
Belo Horizonte,MG,2011-01-09,29
Belo Horizonte,MG,2011-01-16,32
Belo Horizonte,MG,2011-01-23,21
Belo Horizonte,MG,2011-01-30,24
Belo Horizonte,MG,2011-02-06,33
Belo Horizonte,MG,2011-02-13,49
Belo Horizonte,MG,2011-02-20,22
Belo Horizonte,MG,2011-02-27,26
Belo Horizonte,MG,2011-03-06,30
Belo Horizonte,MG,2011-03-13,40
Belo Horizonte,MG,2011-03-20,78
Belo Horizonte,MG,2011-03-27,63
Belo Horizonte,MG,2011-04-03,65
Belo Horizonte,MG,2011-04-10,38
Belo Horizonte,MG,2011-04-17,37
Belo Horizonte,MG,2011-04-24,35
Belo Horizonte,MG,2011-05-01,31
Belo Horizonte,MG,2011-05-08,35
Belo Horizonte,MG,2011-05-15,31
Belo Horizonte,MG,2011-05-22,35
Belo Horizonte,MG,2011-05-29,19
Belo Horizonte,MG,2011-06-05,15
Belo Horizonte,MG,2011-06-12,22
Belo Horizonte,MG,2011-06-19,13
Belo Horizonte,MG,2011-06-26,24
Belo Horizonte,MG,2011-07-03,17
Belo Horizonte,MG,2011-07-10,22
Belo Horizonte,MG,2011-07-17,28
Belo Horizonte,MG,2011-07-24,13
Belo Horizonte,MG,2011-07-31,24
Belo Horizonte,MG,2011-08-07,30
Belo Horizonte,MG,2011-08-14,29
Belo Horizonte,MG,2011-08-21,15
Belo Horizonte,MG,2011-08-28,24
Belo Horizonte,MG,2011-09-04,13
Belo Horizonte,MG,2011-09-11,21
Belo Horizonte,MG,2011-09-18,27
Belo Horizonte,MG,2011-09-25,17
Belo Horizonte,MG,2011-10-02,26
Belo Horizonte,MG,2011-10-09,18
Belo Horizonte,MG,2011-10-16,29
Belo Horizonte,MG,2011-10-23,16
Belo Horizonte,MG,2011-10-30,17
Belo Horizonte,MG,2011-11-06,39
Belo Horizonte,MG,2011-11-13,16
Belo Horizonte,MG,2011-11-20,19
Belo Horizonte,MG,2011-11-27,18
Belo Horizonte,MG,2011-12-04,19
Belo Horizonte,MG,2011-12-11,30
Belo Horizonte,MG,2011-12-18,14
Belo Horizonte,MG,2011-12-25,13
Belo Horizonte,MG,2012-01-01,33
Belo Horizonte,MG,2012-01-08,42
Belo Horizonte,MG,2012-01-15,39
Belo Horizonte,MG,2012-01-22,33
Belo Horizonte,MG,2012-01-29,33
Belo Horizonte,MG,2012-02-05,14
Belo Horizonte,MG,2012-02-12,18
Belo Horizonte,MG,2012-02-19,19
Belo Horizonte,MG,2012-02-26,17
Belo Horizonte,MG,2012-03-04,14
Belo Horizonte,MG,2012-03-11,28
Belo Horizonte,MG,2012-03-18,12
Belo Horizonte,MG,2012-03-25,27
Belo Horizonte,MG,2012-04-01,21
Belo Horizonte,MG,2012-04-08,21
Belo Horizonte,MG,2012-04-15,26
Belo Horizonte,MG,2012-04-22,9
Belo Horizonte,MG,2012-04-29,15
Belo Horizonte,MG,2012-05-06,25
Belo Horizonte,MG,2012-05-13,26
Belo Horizonte,MG,2012-05-20,16
Belo Horizonte,MG,2012-05-27,22
Belo Horizonte,MG,2012-06-03,12
Belo Horizonte,MG,2012-06-10,12
Belo Horizonte,MG,2012-06-17,16
Belo Horizonte,MG,2012-06-24,9
Belo Horizonte,MG,2012-07-01,20
Belo Horizonte,MG,2012-07-08,11
Belo Horizonte,MG,2012-07-15,15
Belo Horizonte,MG,2012-07-22,14
Belo Horizonte,MG,2012-07-29,14
Belo Horizonte,MG,2012-08-05,17
Belo Horizonte,MG,2012-08-12,20
Belo Horizonte,MG,2012-08-19,10
Belo Horizonte,MG,2012-08-26,19
Belo Horizonte,MG,2012-09-02,23
Belo Horizonte,MG,2012-09-09,17
Belo Horizonte,MG,2012-09-16,16
Belo Horizonte,MG,2012-09-23,5
Belo Horizonte,MG,2012-09-30,8
Belo Horizonte,MG,2012-10-07,14
Belo Horizonte,MG,2012-10-14,11
Belo Horizonte,MG,2012-10-21,16
Belo Horizonte,MG,2012-10-28,14
Belo Horizonte,MG,2012-11-04,11
Belo Horizonte,MG,2012-11-11,17
Belo Horizonte,MG,2012-11-18,15
Belo Horizonte,MG,2012-11-25,25
Belo Horizonte,MG,2012-12-02,28
Belo Horizonte,MG,2012-12-09,22
Belo Horizonte,MG,2012-12-16,25
Belo Horizonte,MG,2012-12-23,21
Belo Horizonte,MG,2012-12-30,26
Belo Horizonte,MG,2013-01-06,44
Belo Horizonte,MG,2013-01-13,63
Belo Horizonte,MG,2013-01-20,82
Belo Horizonte,MG,2013-01-27,64
Belo Horizonte,MG,2013-02-03,62
Belo Horizonte,MG,2013-02-10,73
Belo Horizonte,MG,2013-02-17,103
Belo Horizonte,MG,2013-02-24,259
Belo Horizonte,MG,2013-03-03,271
Belo Horizonte,MG,2013-03-10,438
Belo Horizonte,MG,2013-03-17,651
Belo Horizonte,MG,2013-03-24,821
Belo Horizonte,MG,2013-03-31,842
Belo Horizonte,MG,2013-04-07,913
Belo Horizonte,MG,2013-04-14,694
Belo Horizonte,MG,2013-04-21,499
Belo Horizonte,MG,2013-04-28,334
Belo Horizonte,MG,2013-05-05,169
Belo Horizonte,MG,2013-05-12,151
Belo Horizonte,MG,2013-05-19,168
Belo Horizonte,MG,2013-05-26,71
Belo Horizonte,MG,2013-06-02,67
